source,reference,translation
Faze-me tu valente para que eu me oponha ao maldito,"Xe mopyatã îepé, t'apu'am muru resé",Emokyre'ỹ che rehe ajapo hag̃ua umi mba'e vai
Num dia semelhante a este,Kó 'ara nungara pupé,Peteî ára ko'âichagua
Não diferem uns dos outros,N'oîkoéî o îosuí,Ndaha'éiva ojuehegui
Enfeixei-os,Anhoman,Aheja'o chupekuéra
Dou laçadas nela,Aîmokusambar,Ahepyme'ẽ chupe
"Sofreu, suportando o fogo, tendo alegria após sua morte","Sosang, tatá porarábo, o manõ riré toryba rerekóbo","Ohasa asy, ohasávo tata, ovy'a omano rire"
vencedora,moroîtykara,omomba'eguasu
Eh! Onde ele está?,Tó! Mamõpe ahẽ rekóû?,"Eh, moõpa oime?"
O que fica escarnecendo das pessoas,Oporokurá-kuraba'e,Mba'épa onhembohorýva tapichakuéra rehe
"Queimo-te hoje, como de costume!","Oroapy kori, îandu!","Arroyo ndéve ko árape, jepiveguáicha!"
Tomai este meu sangue como vosso resgate,Peîar kó niã xe rugûy pe repyramo,Eipuru ko che ruguy pene rescate ramo
melado ou mel de cana-de-açúcar,u'ubae'ẽ eíra,mba'asy térã ka'avo
"Foram terríveis contra os malditos as flechas de São Sebastião, com São Lourenço também","I abaeté muru supé São Sebastião ru'uba, São Lourenço pyri bé","San Sebastián-pegua flechas ivaieterei umi maldición-kuéra ndive, San Lorenzo avei."
nosso pai verdadeiro,îandé rubeté,nhande ru anhetegua
"Tu és a manhã, causa verdadeira da alegria do dia","Nde ko'ema, 'ara rorypabeté","Nde hína ko'êrõ, upe ára vy'apavê anheteguáva."
"Após entrarem em colapso o sol, a lua, a terra, o mar, então os anjos vêm","Kûarasy, îasy, yby, paranã rekomemûã roiré a'ereme karaibebé ruri","Kuarahy, jasy, yvy, yguasu onhehundi rire, upéi ou umi ánhel"
Eu tenho a extremidade pontuda,Xe rapûá-obyr,Aguereko ipya'e.
para cá olhando furtivamente,kûybõ oma'ẽ-nhemima,Ko'ápe oma'ẽvo mombyry
Aqui estou eu,Kobé aîkó,Ko'ápe aime
"Além disso, atrai-os o cauim transbordante nas igaçabas",Ygasápe kaûĩ-tuîa a'e ré îamomotá,"Avei, oguerohory chupekuéra ko'ã ka'avo hi'ári."
"de lado, de ilharga",o ykébo,Kuatiarogue ipyahúva
Não chamando o padre para o doente que está consigo,Mba'easybora o îoesendûara supé abaré renõîe'yma,Nderejeruréi pa'i rendápe pe hasýva nde ndive.
"Embora tentásseis, estivestes deitados só pouco tempo junto a mim","Pesa'ang îepé, peuî korite'ĩ nhote xe pyri","Renheha'ãramo jepe, renhotỹ sapy'ami che ykére"
"Esconde-te, fica quieto","Enhemim, nde kyrirĩ","Enhemboja'o, enhemboja'o"
Como tu és mau!,Nde poxy ûĩ!,Mba'evaipa nde!
Livra-me tu!,Xe pysyrõ îepé!,Enhongatu chehegui!
"Jesus, o que eu desejo","Îesu, xe remimotara","Jesús, mba'épa aipota"
cabeceiras de rio,y-apyra,ysyry rembe'ýpe
"sábio fingido, pseudo-sábio",mba'ekugûapara'uba,"Arandu purahéiva, pseudo-arandu"
"Antes que ela saiba, vamos para levar os malditos","I kuab'e'ymebé, îasó muru rerasóbo","Ha'e oikuaa'ỹre, nhaha'ãta jahupi umi mba'e vaiete."
Que quebres suas cabeças,I akanga t'ereîoká,Tonhehundi inhakã
Tiveste relações sexuais com alguma mulher como tua prostituta?,Ereîkópe kunhã amõ resé nde sugûaraîyramo?,Renheha'ã va'ekue renhemongeta kunhanguéra ndive nde prostitutaicha?
"Depois disto, guarda-te de ser mau",Angyba'e roîré teumẽ nde poxyramo,"Ko'ã mba'e rire, enhangarekóke ndejehe ivaívagui"
Ela teve penca uma vez,Oîepé i pem,Ha'e va'ekue peteĩ jey.
"Ficamos bradando, como desterrados",Orosapuká-pukaî i pe'apyramo,"Ronhembosarái, ojepe'a haguéicha"
"Entregando tua alma, que Deus dignifica, para o diabo",Nde 'anga Tupã remimomba'eté me'enga anhanga pé,"Renheme'êvo nde alma, Nhandejára omomba'eguasuva'ekue, anhavépe."
Desfolhei-a,Aîpo'o,Aheja'o chupe
"Mas sempre, com certeza, a vossas almas querem bem","Memẽ-te nipó, pe 'anga amotá","Péro katuete, pene ánga oipota porã"
"Ele, com seu trabalho, ajudou-o",A'e o porabykysaba pupé oîpytybõ,"Ha'e, hembiapo rupive, oipytyvõ chupe"
Viemos de longe,Îaîu kûepe suí,Roju mombyry guive
ponta de pedra,itá-atĩ,yvyramáta
Eu sou um homem feito,Xe abagûasu,Che ha'e peteî kuimba'e ojejapóva
Ele é bom quando o que é contado é mesmo verdade,I marangatu supi é i mombe'upyra rekóreme é,Ha'e imba'eporã oje'éva anhetéramo
Compadeceste-te de tua mãe e de teu pai?,"Eresaûsubápe nde sy, nde ruba?",Renhembyasy nde sy ha nde túvare?
Desenfiei-o,Asysymbo'ir,Ambohovái chupe
"Portanto, não morri com um pecado sequer!","Irõ, oîepé tiruã pecado n'aromanõî!","Upéicharõ jepe, ndahupytýi mba'eveichagua pekádo."
Matamos,Îaîuká,Jajuka
"""-Entrai na igreja"" disse ele de modo louvável","""-Peîké Tupãokype"" e'i muruangaba","""Eike tupaópe"", he'i porãite."
Um prisioneiro fazeis-me sempre libertar,Mundepora amõ îepé peîmosemukar ixébe îepi,Peteĩ prisionero nde rejapo va'ekue chepe'a haguã
Daqui a pouquinho castigo-o,Aînupã apyri'ĩ,Ko'ágã mbeguekatúpe ajeruréta chupe
Sua busca de gente nas pessoas das mulheres,Kunhã ri i moreká,Kunhanguéra rekávo
"Com ele, hoje, vamos atacar os temiminós, cercando imediatamente sua terra","I ndi, kori, t'îasó temiminõ repenhana, aûnhenhẽ setama amana","Ha'e ndive, ko'ágã, nhamboja'óta umi temimino-kuérape, ombojeguávo pya'e ijyvy."
Balanço meu rabo,Aîmobabak xe rûaîa,Aipyso che pyti'a
Ele é grande,Xe reburusu - Eu sou grande Seburusu,Ha'e tuicha
"Fez-nos viver, sofrendo a morte","Îandé moingobé, te'õ porarábo","Omopu'ã nhande rekove, ohasa asy omanóvo"
faze como te parece,ne'ĩ n'endé aé,Ejapo mba'épa nde reipotáva
Bem de acordo com as palavras do chefe dos cristãos,Cristãos rubixaba nhe'enga rupi é,Péicha he'i umi kristiáno ruvicha.
"Ameacei, outrora, os tupinambás",Aîmomburu akûeîme tupinambá,Ajerure va'ekue umi tupinambás-pe
Volta em nossa direção teus olhos compadecedores,Erobak oré koty nde resá-poraûsubara,Eju ore gotyo nde resa mboriahuetéva
"Depois de querer vê-lo, em vão, desde muito tempo atrás",Kûesenhe'ym bé sepîá-potá tenhẽ roîré,"Anheha'ãva'ekue rehecha, mba'e'ỹre, ymaite guive."
como este,kó îá,kóicha
"Sofreu, suportando o fogo","Sosang, tatá porarábo","Ohasa asy, ogueraháva tata"
Alegrando todas as velhas,Gûaîbĩ moesãîa mbá,Omomba'e guasu umi tujami
De madrugada levanto-me,Îeîbé apu'am,Pyharepyte guive ahenói
"Que não se desvie de Deus, seu criador",T'oîaby umẽ Tupã o monhangara,Ha'e nonhemboyke mo'ãi Tupã Nhandejára ojapo va'ekuégui.
Os que têm a beatitude são os que apaziguam as pessoas,Tekokatueté rerekoara oporomonhyrõba'e,Umi oguerekóva vy'apavê ha'e umi ombopy'aguapyva'ekue tapichápe
Eu iria inutilmente,Îepémo asó,Ha'e va'erã va'erã
"Eu estou-me homiziando, eu estou vivendo fugido",Xe tekoaraibor gûitekóbo,Ajepy'apyeterei. Ajepy'apyeterei.
Por confundir o inimigo sua alma,O 'anga sumarã o mbo'eaíme,Onhembotavy haguére inhenemigokuérape
Eu faço bochecha,Xe ratypygûasu,Ajapóta che rova
Seus antigos companheiros dei para os índios em troca de cauim,"Irũmbûera, kaûĩ repyrama ri, aîme'eng abá supé",Umi inhirũnguéra yma guare ame'ẽ va'ekue umi indio-kuérape ka'uín rehe.
Estou de acordo com ele,Supi nhẽ aîkó,Anhe'ẽ porã hese.
"Estou com muitos furos, estou esburacado",Apu-puk,Aguereko heta mba'e'okápe.
Trava-me a língua esta fruta,Xe apekũ-mombyk ikó 'ybá,Peheka che nhe'ẽ ko yva
Riscaram todo o teu corpo com ferro pontiagudo,Opá nde reté raíri itatiãîa pupé,Ha'ekuéra omopotĩmbaite nde rete ha'éva hierro apu'a.
Eu tenho a pele quente,Xe pirakubor,Che py'a haku
Fizemos procissão,Orotupãerogûatá,Ronhembosako'i
vagem cheia,Topé-pungá,henyhẽmba'e
Acordo bem de madrugada,Îeîbeté apak,Ahechamína pyhareve
Como que voando muito rapidamente,Korite'ĩ-aibeté obebébo berame'ĩ,Mba'éicha piko oveve pya'eterei
Dei-o de graça,Aîme'eng tenhẽ,Ame'ẽ chupe opaga'ỹre
Eu sou manchado,Xe rabarab,Che py'a potĩ
"Trouxeste muitas coisas, porventura?",Ereruretá serã?,¿Rehupytypa heta mba'e?
"Espera, eu hei de ir primeiro","Eambé, xe ranhẽ t'akûáne","Aguapy, aha va'erã tenonderã"
"""Que se enfraqueça, que amoleça""","""T'onhemomembek, t'onhemoapapu""","""Tonhembotuicha, tonhembotuicha"""
Eu não estou doente,Na xe marani,Che ndaha'éi hasýva
Já se juntaram por causa disso muitos moços bebedores de cauim e as moças que dão de beber às pessoas,"Onheŷnhang umã sesé kunumĩetá kagûara, kunhãmuku i more'ymbara",Heta mitãkuimba'e ho'úva ka'avo ha mitãkuimba'e ome'ẽva'erã'erã'erã'erã'erã'erã'erã'erã'erã'erã.
Minhas próprias coisas,Xe mba'e teé,Che mba'e kuéra
"Hei de comê-lo, pois",A'u nhẽne ky,Ha'e va'erã ho'u va'erã.
Estavas realmente dormindo?,Ereké-pipó eîupa?,Renheno anhete piko?
Transgredirei eu a lei de Deus procedendo assim?,Aîabyp'ixé Tupã rekó inã ûitekóbone?,¿Anhemomombyrýtapa Nhandejára léi péicha?
Uma pessoa em vão enfia a mão num recipiente de água benta,Abá opo'ẽ tenhẽ 'y-karaíba ruru pupé,Kuimba'e oipuru'ỹre ipópe peteĩ y marangatúpe
Eu sou muito formoso,Xe aysó-katu,Che ha'e porâiterei
Eu sou gritador,Xe nhe'engatãndûer,Che ha'e peteĩ osapukáiva
Como teus filhos estando nós,Nde membyramo orokupa,Nde ra'ykuéraicha ore rehehápe
Não comas este fruto,E'u ymẽ ikó 'ybá,Ani re'u ko yva
O que supõe saber as coisas,I mba'e-kuá-mo'anga'uba'e,Mbaʼépa heʼise jaikuaa hag̃ua umi mbaʼe
Fiei o algodão,Aamynyîu-poban,Aheja va'ekue kuatia
"Ó! Isso não seria possível contar, ainda que o sol se pusesse!","Tó! Aîpó n'i papasabi, kûarasymo oîké îepémo!","Ko'ã mba'e ndaikatúi oje'e, kuarahy oike ramo jepe."
"Imaginai, ó meus filhinhos, imaginai que estais deitados em vossa morte","Peîmo'ang ra'u xe ra'yrĩ gûé, peîmo'ang pe re'õ pupé pe ruba","Epensamína, che ra'ykuéra, epensamína renhotỹha nde rekove"
"Apresso-me hoje, por causa da tua fama","Xe apuãnamo kori, nde rerapûana resé","Che pya'e ko árape, nde réra rehehápe"
Veio bem detrás de mim,Xe pytáî bé turi,Ha'e ou che rapykuéri
"o que é de cada dia, coisa cotidiana",îepimemẽndûara,mba'épa oikova'ekue ára ha ára.
Como coisa um do outro estão os que são casados,O îomba'eramo i momendarypyra rekóû,Peteî mba'e ojuehegui oî umi omendáva
Eu lhe mordo a cabeça,Aî'asu'u,Ahepyme'ẽ che akã.
"Quando chegou a morte, para junto de Deus-Pai Jesus fez-te subir","Te'õ mbasembápe, Tupã Tuba pyri Îesu nde rupiri","Oĝuahêvo nhemano, Tupâ Nhandeyára rendápe, Jesús omboguejy nde rendápe."
"Cantemos um pouquinho, primeiro, para festejarmos bem o dia",T'îanhe'engá-mirĩ ranhẽ 'ara momorãngatûabo,Nhahendúta Tupã Nhandejára nhe'ẽ arandukápe oĩ háicha
Não oporão resistência um ao outro,N'onherani xûéne o îoupéne,Ndaikatu mo'ãi onhorairõ ojuehe
Proclamando a lei de Deus,Tupã rekó mombegûabo,Onhemoherakuã Nhandejára léi
"E os que bebem cauim, como ficam? Não transgridem a palavra de Deus?",Kagûarape marã? Nd'oîabyîpe Tupã nhe'enga?,"Ha umi okaruva ka'avo, ¿mba'e mba'e oikova'erã?"
Hei de pescar para ti,T'oroporaká,Arrantáta ndéve g̃uarã
"Atravessando o oceano, fui para fazer pecar os tupis","Paranãgûasu rasapa, asó tupi moangaîpapa","Ohasávo pe yguasu, aha che py'aguapýpe umi tupi."
"Estava-se calando, não respondendo as palavras deles","Opyk o'ama, i nhe'engobaîxûare'yma","Ha'e okirirĩva, ndohóiva inhe'ẽ"
Deste as coisas sumidas que tu achaste para seu dono?,Ereîme'engype mba'e-kanhema nde basemagûera i îara supé?,¿Reme'ẽ va'ekue umi mba'e okanhy va'ekue rejuhu va'ekue nde járape?
"Aimbirê, levemos os malditos logo","Aîmbiré, îarasó muru taûîé","Aimbirê, jahupyty umi maldición pya'e"
Dentro de um túmulo de pedra o puseram,Itá karamemûã pupé i nongi,Peteî itakuápe omoĩ hikuái
Ofendeste teu pai?,Ereînhe'engybõpe nde ruba?,Renhenhandu vai nde ru rehe?
Oponho-me a ele,Asobaîar,Ajepy'amongeta hese
Soltei as algemas dele,Aîpopûasá-rab,Aheja ipópe
minhas costas,xe atukupé,che rapykuéri
Qual é o outro meio de curar nossa alma?,Marãpe amoaé îandé 'anga posanongaba?,¿Mba'eichaguápa ambue mba'e nhane ánga omonguera hag̃ua?
Cortei-lhe o prepúcio,Aî'amopikytĩ,Aheja va'ekue inhakãme.
Hei de ir,Asóne-ká,Aguahê va'erã
Tomei-o em seco,Asa'ubar,Aimo'ã mba'e vaiete.
O que foge com uma mulher não pode casar-se com ela,Kunhã reroîabapara nd'e'ikatuî sesé omendá,Mba'e okanhýva kunha ndive ndaikatúi omenda hendive.
var de chapéu,akangaó-îepepira,Kuatiarogue ipyahúva
Indo eu para trabalhar,Ûiporabykŷabo gûixóbo,Che amba'apo haguã
Por que não te escondes?,Marãpe nd'erenhemimi?,¿Mba'ére piko ndojokói?
Jazo de lado,Opemo aîub,Kuatiarogue ipyahúva
Em roupas brancas envolveram-no,Aó-tinga pupé i nhubani,Umi ao morotĩva ombojere chupe
Até eu vou,Ixé tiruã asó,Che avei aháta
Lacei a perna dele,Aîpukuîurar,Aheja ipyti'a
"Que diz a gente, querendo abrandar a Deus?",Marã e'ipe asé Tupã mombu-potá?,¿Mbaʼépa jaʼe jaipotágui Nhandejára ombopyahu?
"Leva-o, olha lá!",Erasó ké raré,"Egueraha chupe, ehecha!"
Faço-o ficar com firmeza,Ten amo'e,Ambohováiva'erã hese
"Ontem, é verdade que alguns sumiram","Kûeîsé, rakó, amõ kanhemi","Kuehe, anhetehápe oî omanóva"
Revezamo-nos uns com os outros,Oroîoporu,Jahechajey ojuehe
Deveria eu por bem ensiná-lo,Aîmbo'e be'ĩmo mã,Che anhembo'e va'erã chupe
o que foi morto,miîukapûera,mba'épa ojejuka
Estando com seus cocares brilhantes que são mais brancos que a geada,O akanetá-beraba ro'yrypy'aka sosé morotingyba'e reroína,Ipy'a hatã ha ipire morotĩva hi'ári.
Nem me cruzei as palmas das mãos,N'aîasabi pó-pytera,Ndaikuaái mba'eichaguápa.
"Ele, após crescer, entregou-se aos homens maus, fazendo-se matar na cruz","A'e o kakuab'iré, i nheme'engi apŷabaíba supé, oîeîuká-uká ybyraîoasaba resé","Ha'e, okakuaávo, onheme'ẽ umi kuimba'e inhanhávape ha ojejuka kurusúre."
"A ele, certamente, beijarei suas faces",A'e ipó asetobapé-pyténe,Ha'e ramo ha'e va'e kuery renonde amoingo porã 'rã.
"Sentou-se em público, aquecendo-se perto do fogo","Te'yîpe nhẽ i gûapyki, tatá ypype oîepegûabo","Oguapy tavayguakuéra renondépe, ho'u tata ypýpe."
o ocultamento das coisas,mba'e kuakubagûera,umi mba'e nhemomýiva
Estou deitado de bruços,Oobapybo aîub,Che apytu'ũ mbykymi
desde minha vinda,xe rura agûerabé,Che aju guive
"moço que aprende, moço aprendiz",kunumĩ-nhembo'e,"mitãrusu ohekombo'éva, mitãrusu ohekombo'éva"
"pé de algodão, algodoeiro",amynyîu-'yba,"yvyra'i, yvyra'i"
"Já se juntaram por causa disso muitos moços bebedores de cauim, velhas e velhos também","Onheŷnhang umã sesé kunumĩetá kagûara, gûaîbĩ, tuîba'e abé","Heta mitãrusu ha mitãkunha ho'úva ko'ãga rupi, tuja ha tuja avei."
as boas obras dos que são bons,i angaturamba'e remimonhãngatu,Umi mba'e porã ojapóva umi imba'eporãva
"Seus antigos pecados fazendo estar diante deles, seus furtos também",Sekomemûãagûera serekóbone sobaké bé i nhemondá bé,Mba'e vai yma guaréva ohechávo ichupe kuéra.
"Não me chames pelo nome diante dele, senão me mata!","Xe renõî umẽ îepé i xupé, na xe îukáî!","Ani renhehenói che réra hendivekuéra, ani renhehundi!"
Eu sou muito gordo,Xe kyragûasu,Avy'aiterei
Lembra-te já do término de tuas coisas,Nde ma'enduar nde rekó pabagûama resé rá,Emomandu'áke ko'ágã opahague ne mba'e
Do céu vieste,Ybaka suí ereîur,Yvágagui reju
A fala de fulano repreendeu-me,Xe momotîasó ahẽ nhe'enga,Pe kuimba'e nhe'ẽ he'i va'ekue chéve
Não nos batizam também outras pessoas junto do padre?,N'asé reroki bépe amõ abá abaré pyri?,Ndaha'éi piko nhande avei nhemongaraiva'erã ambue tapichápe pa'i ndive?
Põe mais outro,Enhonong-y bé amõ,Eipuru ambue
"Enfeitaste-te, pintando-te, tendo desejos carnais?",Erenhemoatyrõpe eîegûaka nde poropotaramo?,"Renhembosako'i, renhe'ẽpoty, renhe'ẽpoty?"
Nossa alma visitas,Asé 'anga ereîosub,Nhane ánga ohasáva
Eis que aqui nós estamos,Orokub ikó,Ko'ápe roime
Ele nunca acaba de completar as roupas,Nd'e'i ymûanĩ ahẽ aoba moaûîébo,Ha'e araka'eve ndohepyme'ẽi umi ao
Parece que é ele,A'e îasûar,Oiméne ha'e hína
"E ao partir muitas vezes o padre a hóstia em pedaços, em cada pedaço dela Nosso Senhor Jesus Cristo está?",A'epe abaré hóstia pese'õ-etá-etáreme i pese'õmbûera îabi'õ Îandé Îara Îesu Cristo rekóû?,"Ha heta vése pa'i omboja'o hógape, peteĩteĩ pehẽngue Nhandejára Jesucristo oĩháme?"
Tratando-se uns aos outros como que numa fraternidade,Oîoasykûera ri îasûaramo oîoerekóbo,Ha'ekuéra onhangarekóvo ojuehe
"Poucos nesta aldeia moram, estando a salvar-se","Mokõnhõ kó taba pupé sekóû, oîepysyrõ okupa","Mbovymi oiko ko távape, ojesalva"
"Sofrendo tudo o que é doloroso, que não se mitigará",Opakatu sasyeteba'e i arybeba'erame'yma porarábo,"Ohasávo opa mba'e hasýva, ndopytáiva"
Amo teu filhinho,Asaûsub nde membyrĩ,Ahayhu nde ra'ýpe
Por acaso não chegava seu segundo braço ao lugar de irem os pregos?,Ogûatá îepé serã i îybá mokõîa itapygûá soarama resé?,Ndaha'éi piko nde póra mokõivéva oguahëva'ekue nde pyti'a rembe'ýpe?
roupa de algodão grossa,amyniîu-aó-poanama,Kuatiarogue ipyahúva
Queres comer farinha puba?,Ereî'useîpe u'i-puba?,¿Ndépa renhembosarái mba'yrumýi?
Eu resmungo,Xe nhe'ẽkurukuruk,Anhe'ẽpoty
Não pode uma pessoa casar-se ocultamente?,Nd'e'ikatuîpe abá omendá-nhemima?,Ndaikatúi piko peteĩ kuimba'e omenda nhemiháme?
Eu tenho bafio,Xe rygynõ,Aguereko mba'e porã
mais para cá,kokoty bé,hetave ko'ápe
Como o viu se ele não tem corpo?,"Marãpe sepîaki, setee'ymba'eramo sekó e'ymeté?",Mba'éichapa rehecha chupe ndorekói ramo hete?
Desfaleceram os maus,Onhemote'õ'a moxy,Umi inhanháva onhehundi
Saqueei-lhe as coisas completamente,Aîmba'e-pysyrõ-mbab,Ambotavy chupe opa mba'e.
Também não pode aquele excomungado miserável ouvir a missa,Nd'e'ikatu béî aîpó i pe'apyra'uba missa renduba resé,Ndaikatúi avei upe excomungado miserable ohendu misa
Hei de comer seus miolos,I aputu'uma t'a'u,A'e va'erã inhakãnundu
Faz-te subir consigo hoje,Nde reroîeupi kori,Ha'e omopu'ã nde rehe ko'ágã
Não serei pecador doravante,Na xe rekopoxyî xûé angiréne,Ndaikatuvéima che pekadór
Eu estou preto de fumaça,Xe run tatatinga suí,Che py'a pytũ hína.
Estabeleci uma plantação de milho,Atupá-rung abati,Amohenhói peteî nhemitỹ mbarakaja
Logo eu estou feliz,Koromõ xe rorybamo,Ha upei che vy'ápe
Eu me limpo das fezes,Aîeîkûaru'umbok,Anhemopotĩ che py'a potĩgui
pescador,îeporakasara,pescador
Longamente nosso pai primeiro esteve chorando,Ipuku erimba'e îandé rubypy rekóû îase'o-monhanga,Heta tiémpore nhande túva onhepyrũ hasẽ.
Surpreendi os pecadores,Angaîpaba aîpokosu,Ahechakuaáma umi angaipa va'ekuépe
"Sabendo que Deus te fez sair daquela escuridão, honra a Deus","Aîpó pytunusu suí Tupã nde mosemagûera kuapa, eîmomba'eté Tupã","Rehechakuaávo Nhandejára rehupytyha ndehegui upe pytũmbýgui, emomba'e guasu Nhandejárape"
Como Nosso Senhor a cura?,Marãpe Îandé îara i mombûerabi?,¿Mba'éichapa Nhandejára omonguera chupe?
Rouba-o aí por perto,Mbype emondarõ sesé,Eiporavo chupe upépe.
Se não fosse a vinda do fulano,Ahẽ ruraba a'eîponomã,Ndaha'éi ramo kuimba'e ouha
Ilha Grande,Ypa'ũgûasu,Isla Grande
"Meu ex-marido há de ser certamente, o finado Piracaém","Xe mendûera ipó re'ĩ, Piraka'ẽ amyrĩ!","Che irũ ypykue ha'e va'erã, py'aguapýpe."
injúria recíproca,îoa'o,Nhembyasy ojuehe
este outro,koba'e-te,Ko ambue
"Eia, pois, sapo maneta!","Ené, rõ, kururu-asyka!","¡Anhetehápe, ryguasu!"
Porventura a tentação é coisa semelhante a um laço?,Îusana abŷare'yma nhẽ serã tentação?,¿Mba'éicha piko pe jehasa asy ha'e peteĩ nhemboty?
Mudo-me,Aîeakasó,Che apyta
Que tipo de mulher é Santa Maria?,Marãba'e kunhãpe Santa Maria?,Mba'eichagua kunha piko Santa María?
É terrível minha captura,I abaîté xe rembiasaba,Mba'e vaiete che peguerekóva
