Português,Tupi Antigo
"Eis que minha condição, na verdade, é assim",Xe rekó anhẽ nhẽ nakó emonã
"Entram grandes espinhos, espetando sua cabeça","Oîké îugûasu, i akanga kutuka"
o que perverte uma casada,mendara momoxysara
Acreditas na dança do maracá?,Ererobîápe maraká poraseîa?
A crença na dança enche os corações deles,Moraseîa rerobîara i py'a îaîporaká
Atrás de mim ele veio,Xe pytaî turi
Cuidado para não o levares,Erasó umẽ ké
Eu já estou desvirginada,Xe kûar ymûan
Desvirginaste alguma menina? Segundo tua vontade ou ela resistiu completamente?,Eresugûykápe kunhataĩ amõ? Semimotara rupipe koîpó i popyatã-mbápe?
Imediatamente eles se vingam de seu próximo,Aûnhenhẽ o apixarĩ resé îepyki
Como reza aquela outra petição nossa?,Marã e'ipe amoaé asé îeruresaba?
Eu estou olheirento,Xe resakûarumbyk
Benze a gente sua comida?,Osobasápe asé o emi'urama?
Esses homens são os que portam riquezas para nós,Aîpó abá ma'e îara îandébe
"Por acaso estava com a cintura fendida o maldito, balançando?",I ku'a-bok serã moxy oatimunga?
para fazer passar a hóstia em nossa boca,hóstia mongûapagûama resé asé îuru resé
No vale que tem nome Josafat,Ybytygûaîa Îosafat seryba'epe
Que sejamos dignos do que Cristo prometeu,T'oré angaturãne Cristo remienõîûera resé
Eu tenho azia,Xe pusu'umukaî
Tanto um como o outro importunavam Santa Maria ao longo dos dias,Oîoîabenhẽ 'ara rupi Santa Maria moaîuû
Eu tenho inclinação a pedir,Xe îeruresûer
"Queremos muito amar-te, entregando-nos a ti","Oroaûsu-potá-katu, oroîeme'enga endébo"
"Não me faz palpitar o coração o diabo, visitando-me",Na xe mopy'atytyki Anhanga xe rapekóbo
"Eu sou enfermiço, doentio",Xe mba'easy-potar îá
Não! Meu quinhão és tu!,Aã! Xe potaba nde!
Onde Tatapitera? Onde Caumondá?,Umãpe Tatapytera? Umãpe Ka'umondá?
"Deus, a descoberto, imediatamente revelou-se a eles",Aûnhenhẽ Tupã katupe îepîakukari i xupé
Embora eu fosse,Aûîebé-temo asó
As criancinhas também têm somente o pecado de nosso pai primeiro,Pitangĩ abé îandé rubypy angaîpaba nhõ ogûerekó
Faço agouros para ele,Asaybõ
"Tua alma está muito branca, como roupa lavada","Morotĩngatu nde 'anga, aoba i potukapyra rame'ĩ"
enaltecendo vossos antigos pecados,pe rekopoxypûera momoranga
"Dou passos largos, dou grandes passos",Xe rapupa'ũusu
Quem és tu?,Abápe nde?
Estou em pé,A'amĩote
Lado a lado seus cadáveres ao longo do mar estavam,Oîoybyri se'õmbûera paranã ybyri i kûáî
Oxalá houvesse uma mulher aqui !,Kunhã iké sekóû biã mã!
Eles mentem de cara um para o outro,"Semo'ẽ, oîobaúpa"
manchas diversas,pará-paraba
nas grandes cabeças deles,i akangusuî
Eu sou torto do olho,Xe resab
Quantas vezes o homem transgride aquele após atrair-se por uma mulher?,Mbobype abá aîpoba'e oîaby kunhã resé o nhemomotar'iré?
Sentir o toque nas coisas,Mba'e resé mokoka anduba
Transgride também alguém a palavra de Deus não mandando comungar a seu filho que é comungante antigo?,Oîaby bépe abá Tupã nhe'enga o a'yra tupãrasarymana supé tupãrarukare'yma?
São um na união de seu ser sagrado,Oîepé og ekó-karaíba îese'ara pupé nhẽ
"Invocaste o Anhanga, o Taguaíba, o Curupira, o Jurupari ou a morte para alguém?","Eresykyîpe Anhanga, Tagûaíba, Kurupira, Îurupari koîpó te'õ abá supé?"
"Vendo-o, somente, é como pão",Sepîaka nhõ miapé berame'ĩ
abraçando a cintura de teu parceiro,nde rapixara ku'a îubana
Semelhante a gotas de sangue,Tugûy tykyrûera abŷare'yma
Esse homem e sua esposa gastaram todas as suas riquezas,Kó abá semirekó abé opá o mba'e mombabi
homem intolerante,abá-poromborybe'yma
Os que têm a bem-aventurança são os que têm pena das pessoas,Tekokatu-eté rerekoara i poraûsubaryba'e
Em Pedro eu te supunha ver,Pedro resé ixé nde mondari
Pensando falsamente que ele é o que tem a saúde,Marane'ymyîaramo sekó mo'anga'upa
Escarneceste de alguma pessoa?,Ereîoîaîpe abá amõ?
Honrando-o falsamente como seu Deus,O Tupãnamo i moeté-a'upa
"Para visitar a aldeia, eu fui à serra","Taba supa, ybytyrype xe sóû"
Somente Deus é a verdade,Tupã anhõ mba'eeté
Enruguei-me,Anheãî
Todos os cristãos honram-me muito,Opakatu karaíba xe momba'eté-katu
Queimar-vos-ão as chamas!,Pe rapy tatá-endyne!
fazendo-me estar sozinho,oîepebẽ xe moingóbo re'ĩ
É muito belo seu proceder,I porãngatu sekó
"na ponta, na extremidade",apyri
Culpei-o falsamente,Asenõî tenhẽ
Vem para nos guiar,Eîori oré pokoka
Eis que eu tenho sede,Xe 'useî ã
Esse é meu antigo enforcador,Akó xe îubykarûera
Tu costumas levantar-te no lugar em que estás diante de teu pai?,Nde pu'amixûé nde îekûápe nde ruba pé?
"Penetram grandes espinhos, espetando sua cabeça","Oîké îugûasu, i akanga kutuka"
Adversária da morte,Te'õ rupîara nhẽ
"Como os soldados que o agarravam trataram-no, então?",Marãpe gûarinĩetá i pysykara serekóû a'ereme?
Estava agradável a mim meu jogo,I porambyrambykĩ xe nhemosaraîa ixébo
gosto de carne,so'o ré
Vem para ver tua futura terra,Îandé repîaka our! - Veio para nos ver! Eîori nde retamûama repîaka
Cada um daqueles quatro destinos últimos de nossa vida hei de anunciar detidamente,Aîpó îandé rekó oîoirundyk mondykaba îabi'õ t'amombe'u apysagûé
"Ladroeiras, palavras más sobejavam-te, danças, diversões, vômitos, bebedeiras, guerras","Mondarõ, nhe'engaíba nde resemõ, moraseîa, nhemoryba, gûe'ena, ka'uaíba, marana"
Perguntou novamente a eles Nosso Senhor?,Oporandu benhẽpe Îandé Îara i xupé?
"Escaparão futuramente os animais de caça, os pássaros, os peixes, as matas?","Okûabépe irã so'o, gûyrá, pirá, ka'a?"
Apropriaste-te de alguma coisa?,Nde mondápe mba'e amõ resé?
Matemos juntos o que diz isso,Îaîuká memẽ aîpó 'îara
Hoje o matou,Kori i îukáû
"Daqui, certamente, passou para a Índia, terra dos indianos",Ké suí serã i asabi India tapyîtinga retãme
Fazem aplacar a Deus a si mesmos para eliminar a dívida dos pecados de diversos anos,Tupã oîmonhyrõ o îoupé setá nhẽ seîxutatá tekoangaîpaba repy-mondykápe
Eu sou manchado,Xe apŷab
"Acabado isso, ele se casa",Aûîé-katu i mendari
E com essa tua mentira tornaste alguém famoso?,A'epe ebokûé nde îuraragûaîa pupé eremoerapûã abá amõ?
cabeça de peixe,pirá akangûera
Roupa branca mandando colocar nele como meio de maltratá-lo,Aó-tinga mondebuká sesé serekomemûãsabamo
Eu tenho inhaca,Xe raby'ak
cunha de fender lenha,îepe'a-kasaba
um dia muito reluzente,aresakangeté
Por isso mesmo as malditas correm,Nd'e'i te'e moxy onhana
"por isso, portanto",emonã resé
Mais que a roupa batida é a brancura de sua alma,Akó aoba i putukapyra sosé o 'anga tinga
Ficando a repreendê-lo por ocasião de seu erro,Sekomemûãneme senonhẽ-nonhena
"""frio coalhado"", isto é, neve, geada",ro'ynhemoapysanga
"Eia, agora, contai, pois, os impedimentos dele",Pe'ĩ ko'yr sarûaba mombegûabo rõ
Santa Maria é o seu nome,"""Santa Maria"" sera"
Que a gente manda pôr em seu aposento como objeto de seu olhar?,Mba'epe asé oîmoinukar o kotype o ma'ẽsabamo?
"um pouco , pouco tempo , por pouco tempo",korite'ĩ nhote
"Mostram-se a urdir mentiras, ficando a provar poções","E'i mo'ema monhanga, mosanga ra'ã-ra'anga"
Dormiste muitas vezes com ódio?,Ereroker-etápe îoamotare'yma?
"Ao se aproximar o doente de sua agonia, que mande chamar o padre, o que põe o óleo bento","Mba'easybora o mara'ara kakareme t'osenõîukar abaré, îandykaraíba nongara"
Sobram-me sauiás,Xe resemõ saûîá
Este é o meu princípio,Kó xe ypy
O que não recebe a Deus a cada Quaresma,Îekuakubusu îabi'õ Tupã ogûare'ymba'e
Obedeceste às palavras do governante da aldeia ou a teu mestre?,Ereîporakápe taba rerekoara nhe'enga koîpó nde mbo'esara?
"Ao presentearem-no, alegrou-se teu coração","I îetanongápe, sory nde py'a"
caçador de pacas,paka rupîara
Eu tenho hérnia,Xe rapi'agûasu
Estendi o arco,Aurapá-pirar
"Os anos passaram muitas vezes, causa de atraso da ida do homem para o céu?","Okûabetápe erimba'e seîxu, ybakype abá só moabaîpaba?"
Trata-la-á como uma escrava?,Miaûsuba îabépe serekóûne?
Levo de má vontade,Arasó-îeaseî
"Ele, de costume, agiria de outra maneira",Marandé ipó ahẽ rekóû nhandu
"Ficando eles a fazer guerras, ameaçam as cabeças dos índios","Omarãmonhã-monhanga, oîmomboî abá akanga"
Visitando o interior de todas as ocas,Opá okybỹnha supa
Diz-se que iria,Osómo ra'emo
Fiz fogo,Aîatapy
Eu sou muito delgado,Xe rembó nhẽ
Que se guarde fulano de falar,Te'itenhẽumẽ ahẽ onhe'enga
"Os ex-maridos, esses, malditos, não se repreendem",Mendûera kó re'a nd'e'i oîeakakapa
tear de redes,inĩ-ytá
Imitei-o fingidamente,Asa'ang-a'ub
Afastaste teu filho e teu escravo de suas amantes?,"Ereîpe'ape nde ra'yra, nde remiaûsuba i agûasá suí?"
"Eu sou um assassino, causa de se ter medo dos pecados","Morapitîara ixé, angaîpaba sykyîéba"
"o que tem pênis, macho",sakûãîba'e
Quem Deus fez primeiro como habitantes do céu?,Abá ranhẽpe erimba'e Tupã oîmonhang-ypy ybaka porama?
"Amaldiçoa-te, temendo ver tua face","Nde momburu, nde robá repîá-poûsupa"
E como alguém procederá encontrando o que esqueceu?,A'epe marã abá rekóû a'e o esaraîagûera supé ogûasemane?
a ira de Deus,Tupã nhemoŷrõama
Eia de novo!,Ne'ĩ bé!
"Ao comer junto dos seus discípulos, o pão que apanhou em suas mãos devolveu-o","Ogûemimbo'e pyri o karuápe, miapé o pópe gûemiîara i moîebyû"
"Eu não queria vir, irando os homens brancos","Xe n'aîu-potari biã, karaíba moabaîtébo"
Mas não castigará o homem seu filho e seu escravo?,N'oînupãî xûé-tepe abá o a'yra o embiaûsubane?
Tu falaste mal de alguém?,Nde îuru'arype abá amõ resé?
A causa da alegria de minha alma,Xe 'angorypaba
Oxalá chegasse então,Temone a'ereme osykamo
Entortei-a,Aîapar
Todos os seus discípulos para tuas mãos fazendo-os passar,Opá o boîá nde pópe i mongûapa
a palavra de Deus,Tupana nhe'enga
Eu estou imaturo,Xe kyr
"Atiras nele, o dia todo, as palavras mentirosas",Nhe'ẽ-porangu ereîapi ko'arapukuî
Eu somente beberei tudo,Xe nhõ a'u pakatune
"Hei de me confessar ainda hoje, antes de me surpreender a morte","T'anhemombe'une kori bé, te'õ xe resapy'a e'ymebé"
"O laço está quedo O pássaro é que vai dentro dele, caindo","Îusana oĩ nhote Gûyrá aé osó i pupé, o'á"
Mando matá-lo,Aîuká-ukar
a cada dia,ara îabi'õ
"Tocaste no teu pênis, excitando-te?",Erepokokype nde rakûãîa resé enhemoagûyrõmo?
"E suas velhas roupas, que fizeram com elas?",I aogûerape marã serekóû?
Acreditas nos feitiços do pajé?,Ererobîarype paîé îekaraimonhanga?
O que tem relações sexuais com o que não é seu cônjuge,O mendasabe'yma resé oîkoba'e
"Ah, bem parece!",Îasûareté mã!
"Eu sou pequeno! Engolir-me-á hoje, como de costume","Xe mirĩ! Xe mokõ kori, îandune"
poleiro das aves,gûyrá rendaba
A graça que ele dá não acaba,Graça semime'enga n'opabi
"rio abaixo, a jusante",y-embykoty
"de acolá, dali",ûĩ suí
Qual é a causa de nos amar Santa Maria?,Mba'epe Santa Maria asé raûsupaba?
A ti somente louvando-te muito!,Nde nhõ nde moetekatûabo!
Não porque eu fizesse algum mal,Na marã xe rekóreme ruã
Nós somos numerosos,Oré re'yî
Entra hoje em meu coração,Eîké kori xe nhy'ãme
Eu estou rugoso,Xe axixã
Façamo-lo cair conosco no fogo para fazê-lo queimar conosco,Îaro'a tatá pupé serokaîa
Diante de ti sentando-me eu,Nde robaké ûigûapyka
atrás de uma cerca feita de pedras,ybyrá itá-monhangymbyra kupépe
"Eu tenho rosto muito vermelho, eu enrubesço",Xe robá-pyrã-pyrang
"Arrepende-se muito de sua maldade, não querendo repeti-la",Oîmboasy-katu o angaîpaba seroîeby-potare'yma
"São famosos esses moçacaras, que esgotam verdadeiramente o cauim","Serapûan kó mosakara, kaûĩ mboapŷareté"
Por isso mesmo os moços entram sempre no lugar de beber cauim,Nd'e'i te'e kunumĩgûasu oîkébo memẽ kagûápe
Fazendo nosso pai primeiro casar com nossa mãe primeira,Îandé rubypy momendá îandé sy-ypy resé
Aqueles velhos reis fedorentos?,Akó tubixanẽmbûera?
Eu sou destro,Xe poîabab
Eu não sou constante,Na xe rekoposyî
A gente se inclina para os santos que estão no céu também?,Oîerokype asé santos ybakypendûara supé bé?
Ele passou defronte de Nhoesembé,Sobábo akûab - Diante deles passei Nhoesembé robábo i kûáî
Eu tenho diarréia,Xe rebykasy
"Sangue verdadeiro de meu Senhor Jesus Cristo, tu, outrora, como resgate, fizeste derramar-te na cruz","Xe îara Îesu Cristo rugûy-eté, nde erimba'e morepyramo ereîemo'ẽukar cruz pupé"
"daí, desse lugar",aîpó suí
"Tua casa santa edificamos, amando-te, tua imagem fazendo estar conosco","Nde rokangaturamûama oroîmoĩ, nde raûsupa, nde ra'angaba rerokupa"
A vida ruim lançamos fora,Tekoaíba oromombó
"pessoa garrida, elegante, muito enfeitada com cores alegres e brincos, jocosa",araakasybora
A armadilha caiu,O'ar mundé
Desperdiçaste as coisas de alguém?,Ereîmombukápe abá mba'e?
"Eu sou muito grosseiro, eu sou grosseirão",Xe ran - Eu sou grosseiro Xe ranusu
Ele é muito bom,I katu-pyryb
Tu fizeste agressão com palavras a alguém?,Nde nhe'ẽporoîukaípe abá supé?
Nós nos misturamos,Oroîese'ar
Deus fez vir um anjo no sonho de São José para o avisar,Tupã karaibebé mbouri São José mosaûsuba pupé i momorandupa
A de protetora dos aflitos é tua fama sempre,Moreaûsuba rerekoara nde rerapûana îepi
Confessa-se alguém antes de embarcar num navio?,Onhemombe'upe abá ygarusupe o 'ar-y îanondé?
"Depois disso, os malvados estão, a altas horas, atravessando o interior das ocas","A'e ré, moxy rekóû pysaîé okybỹîa asá-asapa"
O julgamento de Deus de nós,Tupã asé rekokuapaba
Livra-nos tu dos que nos querem mal,Oré pysyrõ îepé oré amotare'ymbara suí
"Eia, puxa-o enfim!",Ne'ĩ sekyîa ko'yté!
"Imediatamente, água e seu sangue dele vazaram, escorrendo","Aûnhenhẽ 'y sugûy abé i xuí i 'emi, osyryka"
meu pescador,xe porakasara
casca de coco,inaîagûasu apepûera
Desceu aonde nós estamos,Ogûeîy îandé rekoápe
Assei,Amixyr
"O homem que tenta, sem êxito, ter relações sexuais com uma mulher, não pode casar",Apŷaba kunhã resé o ekó osa'angîepéba'e nd'e'ikatuî omendá
A vida eterna que eles terão no céu é a que mudará?,Oîekûabokyba'eramape tekopuku ybakype semierekorama?
Nele as pessoas batem à tua vista,Sesé abá pûari nde resápe nhẽ
ribanceira da terra,yby-esapykanga
"dali, daquele lugar",ûĩinga suí
Ensina falsamente as pessoas a pronunciar a palavra de Deus,Oporombo'e-a'u Tupã nhe'enga ra'anga
Adoeci com ele,Aromara'ar
E todas as coisas futuramente queimarão?,A'epe opá irã mba'e kaîne?
Jazo imóvel,Aîubé
Não te apropries das coisas de ninguém,Teumẽ abá mba'e resé é mondarõmo
Eu fui rendido,Xe aûîé
Querendo logo levar-nos,Asé rerasó sapy'a potá
Não pode outra pessoa batizar em vez do padre?,Nd'e'ikatuîpe amoaé abá oporomongaraípa abaré suí?
Aqueles pregados junto dele também,Aîpó i pyri i moîarypyrûera abé
No seu próprio ombro levanta a cruz,O ati'yba ri krusá osupi
É um modo de assustar o diabo,Anhanga mosykyîaba
Deve ter ido,Osó ipó re'a
Não poderás doravante juntar-te a tua esposa,Nd'erekatuî xûé angiré nde remirekó rerobyka-ne
Não quis em nós o assalto de nosso inimigo,N'oîpotari îandé ri îandé sumarã pu'ama
"Por isso mesmo o homem se confessa a seu substituto, o padre",Nd'e'i te'e abá soŷpyra abaré supé onhemombegûabo
Por isso mesmo repreendeu a seu companheiro,Nd'e'i te'e o apixara akakapa
"o doente, o que está doente",mara'asara
Far-nos-ia remoçar cada vez que nós o comêssemos,Îandé o 'u îabi'õ îandé moybymo
Arranca-te o nome para que sejas muito famoso,Eîerok ta nde rerapûãngatu
Esconde-te!,Enhemim!
"Adão, nosso primeiro pai","Adão, oré rubypy"
"Minha nação, outrora, estava segundo a lei primeira","Xe anama, erimba'e, tekó-ypyramo sekóû"
"Eia, para não serdes semelhantes a uma maldição a vosso senhor",Pe'ĩ pe îara momburu îasûara suí
Quer muito a sua futura santificação,Oîpotá-katu o nhemongaraibagûama
Talvez queira agarrar-me novamente este pássaro grande,Xe pysy-potar-y bé serã kó gûyragûasu
Vinde para receber as determinações a vós no lugar em que vos ajuntais,Peîori pe nheŷnhangápe pe rekorama rá
tirante a vermelho,pyrã-mbyryb
Dourei-o com ouro,Aîmoîub itaîuba pupé
"Peca muito o homem, benzendo falsamente as pessoas?",I angaîpabetépe abá oporomongaraiba'upa?
"coisa quente, quentura",mba'e-akuba
"peixão, peixe grande",piragûasu
"Suas túnicas ficando a rasgar, estando furiosos",O aobusu mondoró-ndoroka o marãmotaramo
Não! Irritei-me,Aani! Aîemoŷrõ
Por ser Nosso Senhor Jesus Cristo o que tira os pecados,Tekoangaîpabokaramo Îandé Îara Îesu Cristo rekóreme
Meus pés escorregaram,Xe py-syryk
casa de terra,yby-oka
Eu tenho diarréia com sangue,Xe reîkûarugûy
E os rapazes que perseguem mulheres?,A'epe kunumĩgûasu kunhã oîmomosemba'e?
Seu senhorzinho reconhecendo imediatamente,O îarĩ kuapa aunhenhẽ
Não vens para me vingar?,Nd'ereîuri xe repyka?
"São Sebastião destruiu os tamoios, os valentes","São Sebastião tamũîa, kyre'ymbagûera, omombab erimba'e"
Vou como teu substituto,Asó nde rekobîaramo
Que eu te busque as pegadas,T'oroakypûer-eká
cera dos ouvidos,apysá-ygugûá
conforme o dia,ara rupi
Oh! Estes são castelhanos?,Tó! Kasîanap'ikó?
"Por causa disso, somente, Deus os fez ser diabos",Sesé nhõ Tupã i moingóû Anhangamo
Calei a boca dele,Aîîuru-pyk
Estou pressionado,Gûebirãîari nhote aîkó
Querendo que eles se afastem de Deus,Tupã suí i îepe'a-potá
"Ah, veio mesmo para cá o Ostra Grande!",Té oureté kybõ Reriûasu mã!
"Hei de comer hoje seus braços, Caburé, suas pernas","T'a'u kori i îybapûera, Kaburé, setymãmbûera"
Como se eu fosse,Xe só serãmona'ẽ
A terceira dele é a satisfação dos cônjuges,I momosapysaba mendara moîekosupaba
"E ainda mais um batizado, transgressor da boa lei, encontrando um padre, alegrar-se-á muito","Memetipó nhemongaraibypyra tekokatu abŷara abaré supé ogûasema, sorybetéûne"
"Alguém não reconheceria ter comido algo bom, esquecendo-se da excelência de seu sabor?",Abámo mba'e-katu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?
Para que Deus criou a esposa dele? -Para sua futura ajudante,-Mba'erama resépe Tupã semirekorama monhangi? -I pytybõsarama resé
Come ainda,Okaru bé
Ai! Guarda-te de me queimar!,Akaî! Teumẽ xe rapŷabo!
Vivo mal,Aîkó-poxy
ter-nos-iam amaldiçoado,îandé momburu meémo
Morro com virtude,Aromanõ tekokatu
É muito mal feito aquilo que fazes,I ranusu nhẽ kûé nde remimonhanga
Eu não me altero,Na xe amarani
Eu sou um homem vadio,Abá-ekotenhẽ ixé
Os tupinambás que esfregavam a seu Deus arrasamos todos,Tupinambá i Tupã osyba'epûera opakatu îamombá
Sossegai longe de mim senão vos queimo,Penhemongatu mamõ xe suí n'opoapyî
"Sobra-me dinheiro, certamente",Xe resemõ îepé itaîuba
Eu sou um aleijado,Xe ate'ẽ
Eu lhe faço ninho,Asayty-monhang
"Como o revolutear de um urubu sobre coisas fedorentas, tu voltas o rosto para trás","Urubu mba'enema 'arybo nhemoîereba îabé, nde atybak"
"Como a gente se porta, entrando na igreja?",Marangatupe asé rekóû Tupãokype oîkŷabo?
Estava nascendo sem ela se desvirginar,I puke'ỹme nhẽ o'a oúpa
Fez vir outrora alguma coisa boa do céu para seus discípulos?,Oîmbourype erimba'e mba'e-katu amõ ybaka suí o boîaetá supé?
Junto água,Atykûar
Escondo-me bem,Aîemĩngatu
É muitíssimo terrível cair o homem nas mãos de Deus,I abaeté-tekatueté Tupã pópe abá 'ara
Não havia nada antes de Deus fazer o mundo?,Nd'oîkóîpe mba'e amõ Tupã 'ara monhang'e'ymebé?
Que perguntem ao padre ao se confessarem,T'oporandu abaré supé o nhemombegûápe
"casas do lado, vizinhança",amỹîoka
Eis que vou,Asó iã
Querendo afastar de si mesmo o transtorno,O îosuí pubura pe'a potá
Ele é medianamente grande,Turusu'ĩ
Nem mesmo água eu tenho,Y tiruã n'arekóî
O mentiroso perde a vida de sua alma,Temo'emyîara o 'anga rekobesaba mokanhemi
Eu estava-me esquecendo mesmo,Xe resaraî é gûitekóbo
enquanto ele não vem,ture'yma pukuî
"Aimbirê, levemos os malditos logo para alegrar os que ficaram em nossas casas","Aîmbiré, îarasó muru taûîé îandé roŷpyra moesãîa"
Ao lado uns dos outros seus cadáveres estavam ao longo do mar,O îoybyri se'õmbûera paranã ybyri i kûáî
Nem por isso vou para longe,Naroîaî mamõ xe sóû
Eu tenho palavras sagazes,Xe nhe'ẽpokarugûar
Apenas não me fez morrer,Sãî na xe momanõî
coisa ganha com a espada,itangapema pora
Não sabes que Deus expulsou nosso pai primeiro por causa de um só ato seu?,Nd'ereîkuabipe Tupã îandé rubypy oîepé nhõ sekoaba suí i mosemagûera?
Todas as aldeias abrasou,Opabẽ taba mondyki
"Maria, mulher bondosa, engravidando, conforme dizem, o vício amaldiçoa","Maria, kunhãngatu, o puru'aramo, ra'e, tekopoxy oîmomburu"
o que é cabeçudo,i apytagûaba'e
quando a ave bate asas,gûyrá pepekeme
"Após seres grande, serás mãe de Deus","Nde reburusu riré, Tupã syramo ereîkóne"
Dei-o a meu pai,Aîme'eng xe ruba pé
"Embora eles tenham igrejas para ficar rezando, a todos arruinei","I Tupãok îepé, Tupãmongetá-ngetábo, aîmomoxy pabenhẽ"
Por isso mesmo fez nosso pai primeiro como nosso progenitor,Nd'e'i te'e îandé rubypyrama monhanga îandé nhemonhangabamo
"Após matarem a São Lourenço, que queimem em teu fogo","São Lourenço îuká ré, t'okaî nde ratá pupé"
São famosos esses moçacaras,Serapûã kó mosakara
"o próprio Pedro, Pedro mesmo",Pedro aé
Que desapareça vossa lei antiga,T'okanhẽ pe rekopûera
Por que a gente a põe em seu próprio peito?,Marãnamope asé o poti'ape i moíni?
Onde tu roubaste?,Umãmepe nde mondá?
"Confessam seus pecadilhos somente Os que são muito grandes deixam-nos, escondendo-os do padre","Oîmombe'u o angaîpá-mirĩ anhõ Tubixabeté oseîá, abaré suí i mima"
Ameacei Pedro com um pau,Asenopu'am Pedro ybyrá pupé
Quê? Que é?,Mba'e-pipó?
Eis aqui também meu rabo comprido,Kó bé xe rûaî-puku
"Ah, como será a morte do fulano por aí?",Marã îasûaramo ahẽ kûepe se'õ mã?
"Não digas por aí, falsamente, a respeito de ninguém",Nd' eré mõ tenhẽ umẽ abá resé
"de três em três, três cada um",mosapy-sapyr
o que é ruivo,i aîuba'e
Cercando os miseráveis para encher nosso fogo,Muru rokysyma îandé ratá poraká
Parti-o pelo meio,Oîopyterybo rupi aîmombok
Escolheu-a para sua futura mãe,I pysyrõû o syrama resé
afastando o diabo,anhanga pe'abo
Os franceses trouxeram pólvora em vão,Aîuruîuba mokaba ogûeru tenhẽ
És tolerante com teu próximo ao querer ele trabalhar nos feriados?,Ereîmborype nde rapixara 'aretéreme i porabyky-potareme?
Sofrerá também alguma coisa ali estando?,Oîporará abépe mba'e amõ eboûĩme oîkóbone?
"Obedeceu, enfim, Pilatos à sua palavra, então?",Osapîápe Pilatos i nhe'enga a'ereme ko'yté?
Vem espantar o diabo para que não nos vença!,Îori anhanga mondyîa oré moaûîé suí!
Hei de comer seus miolos,I 'aputu'uma t'a'u
"Um frio que fará as pessoas tremerem muito, fazendo-as chorar","Ro'y oporomoryryîeteba'e, i moîasegûábone"
Ficam invocando a morte,Osekyî-sekyî te'õ
Já não quero viver neste mundo falso,N'aîkó-potari ymã ikó 'ara'uba pupé
Quem é a que fala a Deus por nós?,Abápe asé resé Tupã mongetasara sekóû?
Enterro-o,Aîatyb
Como o saberão?,Marãpe i kugûabine?
"Para confortar tua alma, nós o ficamos abraçando","Nde 'anga moapysykápe, oroîaîubã-îubã"
"Vim de motu próprio, vim de própria vontade",Aîur é
"Enfeitaste-te, tendo desejo sensual?",Erenhemoatyrõpe nde poropotaramo?
Não querendo conversar com ele,I mongetá-potare'yma
não já assim,na emonani
a multidão de companheiros do provincial,Pa'igûasu irũndyba
"Os temiminós, de dia, confessam seus pecadilhos, somente",Temiminõ 'arybo nhẽ oîmombe'u o angaîpá-mirĩ anhõ
Então foi?,Osó-tepe ra'e é?
És um nenenzinho,Pitangĩnamo ereîkó
Deixo-o levar,Arasó-ukar
Arranca a miséria de minha alma para que esteja firme em ti,"Eporeaûsubok xe 'anga, t'i pyatã nde resé"
"Vem para destruir o maldito, em seu fogo lançando-o","Eîori, muru mombapa, satápe seîtyka nhẽ"
"daí, desse lugar",ebanõîa suí
Pondo-o dentro de um túmulo de pedra,Itá karamemûã pupé i mondepa
Eu estou cansado,Xe kane'õ
palmito de juçara,îeîsaru'ã
