source,reference,translation
Não chamando o padre para o doente que está consigo,Mba'easybora o îoesendûara supé abaré renõîe'yma,Te'õ abaré rerekoara rerekoara rerekóû
"Embora tentásseis, estivestes deitados só pouco tempo junto a mim","Pesa'ang îepé, peuî korite'ĩ nhote xe pyri","Emonãngatu nde, ereîuká-katu nde pyri"
"Esconde-te, fica quieto","Enhemim, nde kyrirĩ","Te'õ, te'õ, te'õ"
Como tu és mau!,Nde poxy ûĩ!,Nde rekó îepé!
Livra-me tu!,Xe pysyrõ îepé!,Xe îuká nde!
"Jesus, o que eu desejo","Îesu, xe remimotara","Îesu, xe pyri"
cabeceiras de rio,y-apyra,ybyrá-yrá
"sábio fingido, pseudo-sábio",mba'ekugûapara'uba,apy-apy'ẽ
"Antes que ela saiba, vamos para levar os malditos","I kuab'e'ymebé, îasó muru rerasóbo","A'e rekóû rekóû, t'îasó muru îanondé"
Que quebres suas cabeças,I akanga t'ereîoká,T'oîuká i 'anga
Tiveste relações sexuais com alguma mulher como tua prostituta?,Ereîkópe kunhã amõ resé nde sugûaraîyramo?,Ereîmombe'u resé nde rapixara resé nde rapixara resé?
"Depois disto, guarda-te de ser mau",Angyba'e roîré teumẽ nde poxyramo,"Aûîé a'é, ereîepé nde moingóbo"
Ela teve penca uma vez,Oîepé i pem,I îuká-uká
"Ficamos bradando, como desterrados",Orosapuká-pukaî i pe'apyramo,"Îaîuká-uká, îaîuká"
"Entregando tua alma, que Deus dignifica, para o diabo",Nde 'anga Tupã remimomba'eté me'enga anhanga pé,"Nde 'anga resé, Tupã rekóû, Anhanga supé"
Desfolhei-a,Aîpo'o,Aîmoa'ok
"Mas sempre, com certeza, a vossas almas querem bem","Memẽ-te nipó, pe 'anga amotá",Aûîé bé pe 'anga angaîpaba bé
"Ele, com seu trabalho, ajudou-o",A'e o porabykysaba pupé oîpytybõ,Ikó sekóû i xupé i mombe'u
Viemos de longe,Îaîu kûepe suí,Îasó t'îasó
ponta de pedra,itá-atĩ,itá-ypy
Eu sou um homem feito,Xe abagûasu,Xe abá abá
Ele é bom quando o que é contado é mesmo verdade,I marangatu supi é i mombe'upyra rekóreme é,I angaîpaba'e re'a rekóû i xupé
Compadeceste-te de tua mãe e de teu pai?,"Eresaûsubápe nde sy, nde ruba?",Ereîmoaîubype nde remiretá nde ruba resé?
Desenfiei-o,Asysymbo'ir,Aîmonhang
"Portanto, não morri com um pecado sequer!","Irõ, oîepé tiruã pecado n'aromanõî!",Nd'e'i te'e nhõ angaîpaba aîpó!
Matamos,Îaîuká,T'îaîuká
"""-Entrai na igreja"" disse ele de modo louvável","""-Peîké Tupãokype"" e'i muruangaba","""-Oîepé Tupãokype"" i xupé 'îá-puku"
Um prisioneiro fazeis-me sempre libertar,Mundepora amõ îepé peîmosemukar ixébe îepi,Kunhã rakó xe moaûîé xe moaûîé
Daqui a pouquinho castigo-o,Aînupã apyri'ĩ,Aûîeîé-potá-potá
Sua busca de gente nas pessoas das mulheres,Kunhã ri i moreká,Abá rekóû kunhã resé rekóû
"Com ele, hoje, vamos atacar os temiminós, cercando imediatamente sua terra","I ndi, kori, t'îasó temiminõ repenhana, aûnhenhẽ setama amana","I îandé îabé temiminõ îandé rekóû, i 'ara rekóû nhẽ"
Balanço meu rabo,Aîmobabak xe rûaîa,Aîebybyk xe îuká
Ele é grande,Xe reburusu - Eu sou grande Seburusu,Ikó ipó
"Fez-nos viver, sofrendo a morte","Îandé moingobé, te'õ porarábo","Îandé moingóbo, te'õ moingóbo"
faze como te parece,ne'ĩ n'endé aé,nde resé
Bem de acordo com as palavras do chefe dos cristãos,Cristãos rubixaba nhe'enga rupi é,I nhe'enga rupi christiana nhe'enga nhe'enga
"Ameacei, outrora, os tupinambás",Aîmomburu akûeîme tupinambá,"Aîuká, erimba'e, tupinambasa"
Volta em nossa direção teus olhos compadecedores,Erobak oré koty nde resá-poraûsubara,Îandé rekopoxy nde nhe'enga nde nhe'enga
"Depois de querer vê-lo, em vão, desde muito tempo atrás",Kûesenhe'ym bé sepîá-potá tenhẽ roîré,"Aîpó-potare'yme i xuí, îabé, îabé"
como este,kó îá,eboûĩ
"Sofreu, suportando o fogo","Sosang, tatá porarábo","O'o, ybype ybype"
Alegrando todas as velhas,Gûaîbĩ moesãîa mbá,Opá gûaîbĩ reîá
De madrugada levanto-me,Îeîbé apu'am,Kûaraî-mo'ẽ
"Que não se desvie de Deus, seu criador",T'oîaby umẽ Tupã o monhangara,Ta Tupã suí i moîaîukábo
Os que têm a beatitude são os que apaziguam as pessoas,Tekokatueté rerekoara oporomonhyrõba'e,Te'õ-potare'yma abá moîepyka
Eu iria inutilmente,Îepémo asó,Xe rekó-tebẽ
"Eu estou-me homiziando, eu estou vivendo fugido",Xe tekoaraibor gûitekóbo,Xe nhe'ẽ-nhang
Por confundir o inimigo sua alma,O 'anga sumarã o mbo'eaíme,O 'anga moingóbo o 'anga resé
Eu faço bochecha,Xe ratypygûasu,Xe kûaîaîa
Seus antigos companheiros dei para os índios em troca de cauim,"Irũmbûera, kaûĩ repyrama ri, aîme'eng abá supé",I pitanga repîaka amõ abá kaûĩ repîaka
Estou de acordo com ele,Supi nhẽ aîkó,Aîepé-katu
"Estou com muitos furos, estou esburacado",Apu-puk,Aîeîebyrá-katu
Trava-me a língua esta fruta,Xe apekũ-mombyk ikó 'ybá,Anhe'ẽ-mo'ẽ abá
Riscaram todo o teu corpo com ferro pontiagudo,Opá nde reté raíri itatiãîa pupé,Opá-katu nde reté nde re'õ-yté
Eu tenho a pele quente,Xe pirakubor,Xe 'apy'a-pyk
Fizemos procissão,Orotupãerogûatá,T'îaîuká
vagem cheia,Topé-pungá,itá-ypy
Acordo bem de madrugada,Îeîbeté apak,Aîepé-katu
Como que voando muito rapidamente,Korite'ĩ-aibeté obebébo berame'ĩ,Te'õ-te'ĩ-te'ĩ
Dei-o de graça,Aîme'eng tenhẽ,Aîepé-katu
Eu sou manchado,Xe rabarab,Xe aîuká
"Trouxeste muitas coisas, porventura?",Ereruretá serã?,Ereîmoaîuká-katupe erimba'e?
"Espera, eu hei de ir primeiro","Eambé, xe ranhẽ t'akûáne","Endé, xe rekóû"
"""Que se enfraqueça, que amoleça""","""T'onhemomembek, t'onhemoapapu""","""T'oîuká, t'oîuká"""
Eu não estou doente,Na xe marani,Na xe rekóî
Já se juntaram por causa disso muitos moços bebedores de cauim e as moças que dão de beber às pessoas,"Onheŷnhang umã sesé kunumĩetá kagûara, kunhãmuku i more'ymbara",Oîeaûîé bé aîpó kunumĩgûasu kagûara gûaîbĩba'epûera gûaîbĩba'e
Minhas próprias coisas,Xe mba'e teé,Xe rekó-poxy
"Hei de comê-lo, pois",A'u nhẽne ky,T'asó-te'ĩ
Estavas realmente dormindo?,Ereké-pipó eîupa?,Ereîubype erimba'e?
Transgredirei eu a lei de Deus procedendo assim?,Aîabyp'ixé Tupã rekó inã ûitekóbone?,Aîpotápe Tupã rekóû aîpó?
Uma pessoa em vão enfia a mão num recipiente de água benta,Abá opo'ẽ tenhẽ 'y-karaíba ruru pupé,Abá amõ abá abá yby-py'a-py'a
Eu sou muito formoso,Xe aysó-katu,Xe nhe'ẽngatu
Eu sou gritador,Xe nhe'engatãndûer,Xe nhe'engaî
Como teus filhos estando nós,Nde membyramo orokupa,Nde ra'anga t'erekó îandé
Não comas este fruto,E'u ymẽ ikó 'ybá,Nd'e'ikatuî ka'uba
O que supõe saber as coisas,I mba'e-kuá-mo'anga'uba'e,Mba'e resé rerekóû
Fiei o algodão,Aamynyîu-poban,Aîmoapytar
"Ó! Isso não seria possível contar, ainda que o sol se pusesse!","Tó! Aîpó n'i papasabi, kûarasymo oîké îepémo!","Aîpó! Aîpó n'aîpotari, a'e 'îara îanondé!"
"Imaginai, ó meus filhinhos, imaginai que estais deitados em vossa morte","Peîmo'ang ra'u xe ra'yrĩ gûé, peîmo'ang pe re'õ pupé pe ruba","Peîori, xe ra'yramo, peîori nde rekobe'yma resé pe angaîpaba"
"Apresso-me hoje, por causa da tua fama","Xe apuãnamo kori, nde rerapûana resé","Xe resemõ kori, nde rekó rekó resé"
Veio bem detrás de mim,Xe pytáî bé turi,Oîepé-katu xe pyri
"o que é de cada dia, coisa cotidiana",îepimemẽndûara,tekoba'e
Como coisa um do outro estão os que são casados,O îomba'eramo i momendarypyra rekóû,Mba'e amõ rekóû rekóû oîeabé
Eu lhe mordo a cabeça,Aî'asu'u,Xe py'a-py'a
"Quando chegou a morte, para junto de Deus-Pai Jesus fez-te subir","Te'õ mbasembápe, Tupã Tuba pyri Îesu nde rupiri",Tupã Tupã suí Tupã Îesus îepé nde moingóbo
"Cantemos um pouquinho, primeiro, para festejarmos bem o dia",T'îanhe'engá-mirĩ ranhẽ 'ara momorãngatûabo,T'îasó-potá-katu t'oîasó-katu t'oîasó-katu
Não oporão resistência um ao outro,N'onherani xûéne o îoupéne,Nd'e'ikatuî aîpó
Proclamando a lei de Deus,Tupã rekó mombegûabo,Tupã rekopûera
"E os que bebem cauim, como ficam? Não transgridem a palavra de Deus?",Kagûarape marã? Nd'oîabyîpe Tupã nhe'enga?,"A'epe kaûĩ seryba'e, marã? Nd'e'ikatuî Tupã nhe'enga?"
Hei de pescar para ti,T'oroporaká,T'asó-katu nde resé
"Atravessando o oceano, fui para fazer pecar os tupis","Paranãgûasu rasapa, asó tupi moangaîpapa","Ybyrá moaîuká, asó tupi moaîuká"
"Estava-se calando, não respondendo as palavras deles","Opyk o'ama, i nhe'engobaîxûare'yma","I nhe'enga, i nhe'enga nhe'enga"
Deste as coisas sumidas que tu achaste para seu dono?,Ereîme'engype mba'e-kanhema nde basemagûera i îara supé?,Eîmonhangype marã nde remirekó-potara resé?
"Aimbirê, levemos os malditos logo","Aîmbiré, îarasó muru taûîé","Aîmbiré, t'îaîuká muru"
Dentro de um túmulo de pedra o puseram,Itá karamemûã pupé i nongi,Ybyrá tupãoka pupé iî
Ofendeste teu pai?,Ereînhe'engybõpe nde ruba?,Ereîmombe'u nde ruba?
Oponho-me a ele,Asobaîar,Aîeepyk
Soltei as algemas dele,Aîpopûasá-rab,Aîmoîa'ok
minhas costas,xe atukupé,xe pó
Qual é o outro meio de curar nossa alma?,Marãpe amoaé îandé 'anga posanongaba?,Mba'e-etépe asé 'anga 'ara pupé?
Cortei-lhe o prepúcio,Aî'amopikytĩ,Aîmoa'ok-a'ok
Hei de ir,Asóne-ká,T'asó ruã
Tomei-o em seco,Asa'ubar,Aîe'ok
O que foge com uma mulher não pode casar-se com ela,Kunhã reroîabapara nd'e'ikatuî sesé omendá,Kunhã supé oîepé oîea'yma n'oîepé
var de chapéu,akangaó-îepepira,ybyrá-pyrá
Indo eu para trabalhar,Ûiporabykŷabo gûixóbo,Asó xe rekóû
Por que não te escondes?,Marãpe nd'erenhemimi?,Marãpe nde îuká?
Jazo de lado,Opemo aîub,Aîuká
Em roupas brancas envolveram-no,Aó-tinga pupé i nhubani,I py'a pupé i xuí i xuí
Até eu vou,Ixé tiruã asó,Aûîepé xe rekóû
Lacei a perna dele,Aîpukuîurar,Aîapyk
"Que diz a gente, querendo abrandar a Deus?",Marã e'ipe asé Tupã mombu-potá?,Marã e'ipe asé Tupã supé supé oîmonhangi?
"Leva-o, olha lá!",Erasó ké raré,"Eîmoîá, kûeîá!"
Faço-o ficar com firmeza,Ten amo'e,Aîmonhang
"Ontem, é verdade que alguns sumiram","Kûeîsé, rakó, amõ kanhemi","Aûîé, a'e amõ abá suí"
Revezamo-nos uns com os outros,Oroîoporu,Oroîoîoîoîoîoesé
Deveria eu por bem ensiná-lo,Aîmbo'e be'ĩmo mã,Aîpotá-potá-potá
o que foi morto,miîukapûera,i îuká-uká
Estando com seus cocares brilhantes que são mais brancos que a geada,O akanetá-beraba ro'yrypy'aka sosé morotingyba'e reroína,O emonã-ytá-poxy-poxy o angaîpaba'e-poxy i 'ara pupé
Nem me cruzei as palmas das mãos,N'aîasabi pó-pytera,N'aîme'eng-etá
"Ele, após crescer, entregou-se aos homens maus, fazendo-se matar na cruz","A'e o kakuab'iré, i nheme'engi apŷabaíba supé, oîeîuká-uká ybyraîoasaba resé","A'e rekóû ikóû abá rekóû, kruza moîeaûîébo"
"A ele, certamente, beijarei suas faces",A'e ipó asetobapé-pyténe,"A'e te'õ, a'e, i aîuká"
"Sentou-se em público, aquecendo-se perto do fogo","Te'yîpe nhẽ i gûapyki, tatá ypype oîepegûabo",Oîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîo
o ocultamento das coisas,mba'e kuakubagûera,tekoba'epûera
Estou deitado de bruços,Oobapybo aîub,Aîeîebyrá-mo'ẽ
desde minha vinda,xe rura agûerabé,xe ra'yra
"moço que aprende, moço aprendiz",kunumĩ-nhembo'e,aîuká
"pé de algodão, algodoeiro",amynyîu-'yba,itá
"Já se juntaram por causa disso muitos moços bebedores de cauim, velhas e velhos também","Onheŷnhang umã sesé kunumĩetá kagûara, gûaîbĩ, tuîba'e abé","Aûîeîme amẽ aîpó kunumĩgûasu kagûara, kunumĩ abá bé"
as boas obras dos que são bons,i angaturamba'e remimonhãngatu,i angaîpaba'e rekó-katu
"Seus antigos pecados fazendo estar diante deles, seus furtos também",Sekomemûãagûera serekóbone sobaké bé i nhemondá bé,"I angaîpaba repîakypûera i nhe'enga, i angaîpaba bé"
"Não me chames pelo nome diante dele, senão me mata!","Xe renõî umẽ îepé i xupé, na xe îukáî!","N'aîpotari xe rekóû i xupé, aîpó xe rekóû!"
Eu sou muito gordo,Xe kyragûasu,Xe pyk-yté
Lembra-te já do término de tuas coisas,Nde ma'enduar nde rekó pabagûama resé rá,Nde resé nde resé nde resé resé
Do céu vieste,Ybaka suí ereîur,Ybaka resé ereîuká
A fala de fulano repreendeu-me,Xe momotîasó ahẽ nhe'enga,Kunhã nhe'enga remi'ẽ
Não nos batizam também outras pessoas junto do padre?,N'asé reroki bépe amõ abá abaré pyri?,Nd'e'ikatuîpe îandé rekóû abá supépe abaré supé?
Põe mais outro,Enhonong-y bé amõ,Oîmoîeby-katu
"Enfeitaste-te, pintando-te, tendo desejos carnais?",Erenhemoatyrõpe eîegûaka nde poropotaramo?,"Ereîmoîebype nde resé, te'õ, te'õ-potá?"
Nossa alma visitas,Asé 'anga ereîosub,Îandé 'anga rekóû
Eis que aqui nós estamos,Orokub ikó,Kó îandé rekóû
Ele nunca acaba de completar as roupas,Nd'e'i ymûanĩ ahẽ aoba moaûîébo,Nd'e'i te'e aîpó a'e
Parece que é ele,A'e îasûar,Aîpó a'e
"E ao partir muitas vezes o padre a hóstia em pedaços, em cada pedaço dela Nosso Senhor Jesus Cristo está?",A'epe abaré hóstia pese'õ-etá-etáreme i pese'õmbûera îabi'õ Îandé Îara Îesu Cristo rekóû?,A'epe aûîeîpópe abaré klasype hóstia îabépe Îandé Îara Îesu Cristo îabépe?
Tratando-se uns aos outros como que numa fraternidade,Oîoasykûera ri îasûaramo oîoerekóbo,Oîoîoîoesé oîoîoîoesé oîoîoîoa'õmo
"Poucos nesta aldeia moram, estando a salvar-se","Mokõnhõ kó taba pupé sekóû, oîepysyrõ okupa","Kó îepé aldeîa rekóû, oîopysyrõmo sekóbo"
"Sofrendo tudo o que é doloroso, que não se mitigará",Opakatu sasyeteba'e i arybeba'erame'yma porarábo,"Opaîpaba'e rerekoara, taîeîeba'e n'oîeîkuî"
Amo teu filhinho,Asaûsub nde membyrĩ,Aîpó nde rapixara
Por acaso não chegava seu segundo braço ao lugar de irem os pregos?,Ogûatá îepé serã i îybá mokõîa itapygûá soarama resé?,Nd'e'i te'e serã o îoesé îoesé-potare'yma resé?
roupa de algodão grossa,amyniîu-aó-poanama,mosangaîba'e
Queres comer farinha puba?,Ereî'useîpe u'i-puba?,Ereîmombe'u-pûá-pûá?
Eu resmungo,Xe nhe'ẽkurukuruk,Xe resemõî
Não pode uma pessoa casar-se ocultamente?,Nd'e'ikatuîpe abá omendá-nhemima?,Nd'e'ikatuîpe abá nd'e'ikatuî-katuî?
Eu tenho bafio,Xe rygynõ,Xe kûab
mais para cá,kokoty bé,aîpó-katu
Como o viu se ele não tem corpo?,"Marãpe sepîaki, setee'ymba'eramo sekó e'ymeté?",Marãpe sekóû i 'yme'ymamo?
Desfaleceram os maus,Onhemote'õ'a moxy,Oîoîoîebybẽ abá
Saqueei-lhe as coisas completamente,Aîmba'e-pysyrõ-mbab,Aîpotar-a'ub
Também não pode aquele excomungado miserável ouvir a missa,Nd'e'ikatu béî aîpó i pe'apyra'uba missa renduba resé,Nd'e'i te'e a'e missa moaûîé-potare'yma
Hei de comer seus miolos,I aputu'uma t'a'u,Aîmoa'upe i îuká
Faz-te subir consigo hoje,Nde reroîeupi kori,Nde resé nde resé kori
Não serei pecador doravante,Na xe rekopoxyî xûé angiréne,Nd'e'i te'e-katuî
Eu estou preto de fumaça,Xe run tatatinga suí,Xe nhe'ẽ-mirĩ
Estabeleci uma plantação de milho,Atupá-rung abati,Aîmoapy'a rupi aîuká
Logo eu estou feliz,Koromõ xe rorybamo,Kó xe rekóû
Eu me limpo das fezes,Aîeîkûaru'umbok,Xe kûá-pûá
pescador,îeporakasara,pitanga
Longamente nosso pai primeiro esteve chorando,Ipuku erimba'e îandé rubypy rekóû îase'o-monhanga,Emonã îandé ruba îandé ruba
Surpreendi os pecadores,Angaîpaba aîpokosu,Aîuká angaîpagûera
"Sabendo que Deus te fez sair daquela escuridão, honra a Deus","Aîpó pytunusu suí Tupã nde mosemagûera kuapa, eîmomba'eté Tupã","Tupã nde resé nde moingóbo a'ereme, Tupã rekóû"
Como Nosso Senhor a cura?,Marãpe Îandé îara i mombûerabi?,Marãpe Îandé Îara rekóû?
Rouba-o aí por perto,Mbype emondarõ sesé,Aîmoîeby-mo'ẽ
Se não fosse a vinda do fulano,Ahẽ ruraba a'eîponomã,Nd'e'ikatuî a'e rupi
Ilha Grande,Ypa'ũgûasu,Ybyrá-katu
"Meu ex-marido há de ser certamente, o finado Piracaém","Xe mendûera ipó re'ĩ, Piraka'ẽ amyrĩ!","Xe remireté serã ipó, Piracaém-yté"
injúria recíproca,îoa'o,itá-îuká
este outro,koba'e-te,a'e-eté
"Eia, pois, sapo maneta!","Ené, rõ, kururu-asyka!","Nate'ĩ, gûyrá-gûyrá!"
Porventura a tentação é coisa semelhante a um laço?,Îusana abŷare'yma nhẽ serã tentação?,Mba'e-eté-eté serã ra'yramo?
Mudo-me,Aîeakasó,Aîuká
Que tipo de mulher é Santa Maria?,Marãba'e kunhãpe Santa Maria?,Mba'epe kunhã amõ Santa Maria?
É terrível minha captura,I abaîté xe rembiasaba,I angaîpaba
"Imediatamente, água e sangue dele vazaram, escorrendo","Aûnhenhẽ 'y sugûy abé i xuí i 'emi, osyryka","Aûîé-ang, i 'anga i xuí i aîuká, i aîuká"
Estava-me agradável meu jogo,I porambyrambyk xe rekó ixébo - São-me agradáveis meus afazeres I porambyrambykĩ xe nhemosaraîa ixébo,Xe nhe'ẽ-katu xe nhe'enga
"Elas, na verdade, são más, ficando a fazer pajelança","A'e, rakó, i angaîpá, oîemopaîé-paîébo","I angaîpab-eté i îukáû, aîeîuká-pukuî"
Sejamos bons para aqueles homens,T'i marangatu apó abá pé,T'îandé resé abá resé
Deram-lhe de beber?,Ose'ymype gûá?,Osó-potápe?
de noite,putunyme,so'o
Eu estou muito quebrantado,Xe pitubarusu,Xe nhe'ẽngatu
"Meu nome é ""Sapo Achatado""","Xe rera ""Kururupeba""","Xe ixé ""Sapo-ky"""
Chegou a nós sua luz para sempre,Osyk oré ri sendy îepinhẽ,Eîkuá îandé rekóû i 'anga îandébo
"o que é frito, a fritura",i moxyryrykypyra,ybyrá
"Será que estais sossegados, sem mais, com vossos montes de maldades?",Pe apysykĩ serã peîkóbo pe rekomemûã aty-atyra pupé?,Nd'e'i te'e erimba'e nde angaîpaba pupé nde angaîpaba suí?
A consorciação deles em toda a parte,I îogûerekó kûeîkûeîbo,I xupé o îuká rekóû
Engasgou-me minha comida,Xe îase'opytym xe remi'u,Xe reîá xe remi'ĩ
Que estes em quem mandas lancem fora toda a maldade,Kó nde remimbûaîetá t'oîtyk pá tekopoxy,T'oîkobé aîpó oîoîoîoîoesápe opûaka pupé
"Querendo tua virtude, detesto minha cultura antiga","Nde rekokatu potá, aroŷrõ xe rekopûera","Nde nhe'enga îukábo, aîuká xe 'anga"
"Ele está enferrujado, ele tem ferrugem",Sepoti,Oîoîoîoîo
"Quais são, por acaso, as ocasiões de se ter medo da morte?",Mba'e-mba'e-piã te'õ suí nheangûaba?,Mba'epe erimba'e te'õ suí te'õ-potá suí serekóû?
Vais neste dia,Eresó kó 'ara ri,Eresó yby 'ara resé
