source,reference,translation
Na abaré ruã ixé,Eu não sou padre,Eu não sou padre
A'e abaré nde mongaraipara iraîtytataendy me'engi nde pópe,Aquele padre que te batiza dá uma vela na tua mão,"O padre que te amará, querendo que o enfeite para ti"
typy,fundura dele,linha de comandos
Tîaté i mĩme i xupé marã oîkóbo,Cuidado ao esconder-lhe o que faz,Não querendo que ele perca ele alguma coisa
Tynysẽ memẽ,Elas estão sempre cheias,"Enfim, vão"
u'uba nhã,entalhe da flecha,o que está aqui
Ianga Pa'i Tupã n'oîpotari,Isso o Senhor Deus não quer,A alma do Senhor Deus não queima
Xe té xe té,Eu estou muito desfigurado,Eu sou muito mais que eu
Santa Cruz ra'angaba resé oré pysyrõ îepé,Pelo sinal da Santa Cruz livra-nos tu,Para nos honrarmos com o nome de Santa Cruz
"Seroŷrõmo opakatu ikó 'ara pupé i moasypyra, seroŷrõmbyra sosé",Detestando-os mais que tudo o que deve ser lamentado e o que se deve detestar neste mundo,"Ficam aterrorizando todos os que estão neste mundo, em vez de aterrorizarem-se"
naná-'y,"NANAÚ, NANAUÍ, licor de ananás, bebida fermentada que os índios faziam com tal fruta","o que não tem água, o que tem água"
Asé apysakûá-puka potá,Querendo abertos os buracos das orelhas da gente,Fazendo-nos caír o vento em nossa cabeça
Na xe tekokuabi,Eu não sei,Eu não tenho boas palavras
Na tenhẽ ruã 'areté marãtekoaba ri oîoparabamo 'ari îandébo,Não foi à toa que os feriados surgiram para nós como um intercalação no trabalho,"Não, certamente, vão para nós os que são traidores dos pecados"
Aîme'engĩ,Dei-o por dar,Fiquei-o
"Xe mopyatã îepé, t'apu'am muru resé",Faze-me tu valente para que eu me oponha ao maldito,"Lembra-me tu, de comer aos malditos"
Kó 'ara nungara pupé,Num dia semelhante a este,Dentro do buraco de este mundo
N'oîkoéî o îosuí,Não diferem uns dos outros,Não se afasta de si mesmo
Anhoman,Enfeixei-os,Enfeitei-me
Aîmokusambar,Dou laçadas nela,Fiquei-o enfeitando
"Sosang, tatá porarábo, o manõ riré toryba rerekóbo","Sofreu, suportando o fogo, tendo alegria após sua morte","Sosang, apanhando a maldade dos peixes, fazendo-os viver dentro de suas mãos"
moroîtykara,vencedora,"o que é mau, o mau"
Tó! Mamõpe ahẽ rekóû?,Eh! Onde ele está?,Oh! Onde está isto?
Oporokurá-kuraba'e,O que fica escarnecendo das pessoas,O que tem a bem-aventuração
"Oroapy kori, îandu!","Queimo-te hoje, como de costume!","Vamos hoje, de costume!"
Peîar kó niã xe rugûy pe repyramo,Tomai este meu sangue como vosso resgate,"Vós sois, desta maneira, como vossos antigos"
u'ubae'ẽ eíra,melado ou mel de cana-de-açúcar,"o que come água, que come água"
"I abaeté muru supé São Sebastião ru'uba, São Lourenço pyri bé","Foram terríveis contra os malditos as flechas de São Sebastião, com São Lourenço também","É muito mau para os malditos o nome de São Sebastião, depois de São Lourenço"
îandé rubeté,nosso pai verdadeiro,nossa sozinhança
"Nde ko'ema, 'ara rorypabeté","Tu és a manhã, causa verdadeira da alegria do dia","Tu és a morte, a verdadeira realidade do dia"
"Kûarasy, îasy, yby, paranã rekomemûã roiré a'ereme karaibebé ruri","Após entrarem em colapso o sol, a lua, a terra, o mar, então os anjos vêm","O sol, a água, a terra e os mares são usados, depois disso, como precursores do karaibé"
Xe rapûá-obyr,Eu tenho a extremidade pontuda,Eu tenho as orelhas cortadas
kûybõ oma'ẽ-nhemima,para cá olhando furtivamente,a cintura de cauim
Kobé aîkó,Aqui estou eu,Eis que aqui estou
Ygasápe kaûĩ-tuîa a'e ré îamomotá,"Além disso, atrai-os o cauim transbordante nas igaçabas","Depois disso, matamos os cauimes das excavações das altas costeiras"
o ykébo,"de lado, de ilharga",dentro de sua casa
Mba'easybora o îoesendûara supé abaré renõîe'yma,Não chamando o padre para o doente que está consigo,"Aquele que não se honra com o que se honra, o padre não sabe"
"Pesa'ang îepé, peuî korite'ĩ nhote xe pyri","Embora tentásseis, estivestes deitados só pouco tempo junto a mim","Lembrai-vos, levei-vos logo à frente de mim"
"Enhemim, nde kyrirĩ","Esconde-te, fica quieto","Lembra-te, teus companheiros"
Nde poxy ûĩ!,Como tu és mau!,Tu és grande!
Xe pysyrõ îepé!,Livra-me tu!,Leva-me tu!
"Îesu, xe remimotara","Jesus, o que eu desejo","Jesus, meu substituto"
y-apyra,cabeceiras de rio,rio de água
mba'ekugûapara'uba,"sábio fingido, pseudo-sábio","o que é mau, o mau"
"I kuab'e'ymebé, îasó muru rerasóbo","Antes que ela saiba, vamos para levar os malditos","Antes de o matarem, vamos para levar os malditos"
I akanga t'ereîoká,Que quebres suas cabeças,Que leves sua cabeça
Ereîkópe kunhã amõ resé nde sugûaraîyramo?,Tiveste relações sexuais com alguma mulher como tua prostituta?,Tiveste relações sexuais com alguma mulher como teu parceiro?
Angyba'e roîré teumẽ nde poxyramo,"Depois disto, guarda-te de ser mau",Logo após passar o diabo a morte te matará
Oîepé i pem,Ela teve penca uma vez,Chamaram-no ao p
Orosapuká-pukaî i pe'apyramo,"Ficamos bradando, como desterrados","Ficamos a afastar-nos, a afastar-nos"
Nde 'anga Tupã remimomba'eté me'enga anhanga pé,"Entregando tua alma, que Deus dignifica, para o diabo",Tua alma que Deus dá para o diabo
Aîpo'o,Desfolhei-a,Fiquei-o a colar
"Memẽ-te nipó, pe 'anga amotá","Mas sempre, com certeza, a vossas almas querem bem","Mas, de fato, vossas almas vão acabar"
A'e o porabykysaba pupé oîpytybõ,"Ele, com seu trabalho, ajudou-o",Aquecendo-se com seus antigos pecados
Îaîu kûepe suí,Viemos de longe,Vem de aí
itá-atĩ,ponta de pedra,ponta de ferro
Xe abagûasu,Eu sou um homem feito,Eu sou escurado
I marangatu supi é i mombe'upyra rekóreme é,Ele é bom quando o que é contado é mesmo verdade,"Por causa de seu enforcamento, por causa de seu enforcamento"
"Eresaûsubápe nde sy, nde ruba?",Compadeceste-te de tua mãe e de teu pai?,"Acreditas em tua mãe, teu pai?"
Asysymbo'ir,Desenfiei-o,Fiquei-o a ferir
"Irõ, oîepé tiruã pecado n'aromanõî!","Portanto, não morri com um pecado sequer!","Vem, para sempre, para que o pecado não se comete!"
Îaîuká,Matamos,Mata-o
"""-Peîké Tupãokype"" e'i muruangaba","""-Entrai na igreja"" disse ele de modo louvável","O que diz ""-Vê para o céu"" é o que diz"
Mundepora amõ îepé peîmosemukar ixébe îepi,Um prisioneiro fazeis-me sempre libertar,Aborrecem-se alguns a nós sempre
Aînupã apyri'ĩ,Daqui a pouquinho castigo-o,Fiquei-o apanando
Kunhã ri i moreká,Sua busca de gente nas pessoas das mulheres,Junto com uma mulher
"I ndi, kori, t'îasó temiminõ repenhana, aûnhenhẽ setama amana","Com ele, hoje, vamos atacar os temiminós, cercando imediatamente sua terra","É meu, hoje, que venha para repensar as maldades, após isso, a guerra acabará"
Aîmobabak xe rûaîa,Balanço meu rabo,Aproximei meus preguiços
Xe reburusu - Eu sou grande Seburusu,Ele é grande,Eu sou grande Seburusu
"Îandé moingobé, te'õ porarábo","Fez-nos viver, sofrendo a morte","Fazendo-nos morrer, causa da morte"
ne'ĩ n'endé aé,faze como te parece,"de fato, não tu"
Cristãos rubixaba nhe'enga rupi é,Bem de acordo com as palavras do chefe dos cristãos,Com as palavras dos escravos de Cristo é
Aîmomburu akûeîme tupinambá,"Ameacei, outrora, os tupinambás","Enfimei-o, na verdade, com os tupinambá"
Erobak oré koty nde resá-poraûsubara,Volta em nossa direção teus olhos compadecedores,"Cerca-te de nós, por causa de tua compaixão"
Kûesenhe'ym bé sepîá-potá tenhẽ roîré,"Depois de querer vê-lo, em vão, desde muito tempo atrás","Eis que ele também está muito aflito, após acabar o tempo"
kó îá,como este,este dia
"Sosang, tatá porarábo","Sofreu, suportando o fogo","Sosang, querendo fazer valer o fogo"
Gûaîbĩ moesãîa mbá,Alegrando todas as velhas,Amo todos os peixes
Îeîbé apu'am,De madrugada levanto-me,Levo-o primeiro
T'oîaby umẽ Tupã o monhangara,"Que não se desvie de Deus, seu criador",Que deje de matar Deus seus inimigos
Tekokatueté rerekoara oporomonhyrõba'e,Os que têm a beatitude são os que apaziguam as pessoas,O que se batiza com a virtude da virtude
Îepémo asó,Eu iria inutilmente,Vou em primeiro lugar
Xe tekoaraibor gûitekóbo,"Eu estou-me homiziando, eu estou vivendo fugido",Eu sou o que se arrepende de mim
O 'anga sumarã o mbo'eaíme,Por confundir o inimigo sua alma,O culpado de sua alma diz o que ele não sabe
Xe ratypygûasu,Eu faço bochecha,Eu sou muito grande
"Irũmbûera, kaûĩ repyrama ri, aîme'eng abá supé",Seus antigos companheiros dei para os índios em troca de cauim,"O que tem um pão, em vez de comer cauim, dei para o homem"
Supi nhẽ aîkó,Estou de acordo com ele,Estou sempre
Apu-puk,"Estou com muitos furos, estou esburacado",Fiquei-o a colar
Xe apekũ-mombyk ikó 'ybá,Trava-me a língua esta fruta,Eu tenho as orelhas cortadas por este fruto
Opá nde reté raíri itatiãîa pupé,Riscaram todo o teu corpo com ferro pontiagudo,Todos os que estão dentro de teu corpo estão dentro de seu corpo
Xe pirakubor,Eu tenho a pele quente,Eu sou um pirataco
Orotupãerogûatá,Fizemos procissão,Afastamos-nos uns aos outros
Topé-pungá,vagem cheia,Estão apressando-se
Îeîbeté apak,Acordo bem de madrugada,Afastei-me muito
Korite'ĩ-aibeté obebébo berame'ĩ,Como que voando muito rapidamente,São muitos os que se casam com outrora
Aîme'eng tenhẽ,Dei-o de graça,Enfimei-o
Xe rabarab,Eu sou manchado,Eu sou pobre
Ereruretá serã?,"Trouxeste muitas coisas, porventura?",Porventura eraste muito aflito?
"Eambé, xe ranhẽ t'akûáne","Espera, eu hei de ir primeiro","Sim, hei de ir primeiro"
"""T'onhemomembek, t'onhemoapapu""","""Que se enfraqueça, que amoleça""","""Conhece-o, conhece-o"""
Na xe marani,Eu não estou doente,Não é que eu seja mau
"Onheŷnhang umã sesé kunumĩetá kagûara, kunhãmuku i more'ymbara",Já se juntaram por causa disso muitos moços bebedores de cauim e as moças que dão de beber às pessoas,"Por isso, certamente, os moços comeram cauim, as moças que o comeram"
Xe mba'e teé,Minhas próprias coisas,Eis que eu tenho coisas boas
A'u nhẽne ky,"Hei de comê-lo, pois",Estou depressa
Ereké-pipó eîupa?,Estavas realmente dormindo?,Afastaste muitas vezes o pão?
Aîabyp'ixé Tupã rekó inã ûitekóbone?,Transgredirei eu a lei de Deus procedendo assim?,Acreditei que esta é a palavra de meu pai?
Abá opo'ẽ tenhẽ 'y-karaíba ruru pupé,Uma pessoa em vão enfia a mão num recipiente de água benta,O homem dá a volta para dentro do rio
Xe aysó-katu,Eu sou muito formoso,Eu sou muito grosso
Xe nhe'engatãndûer,Eu sou gritador,Eu tenho palavras falsas
Nde membyramo orokupa,Como teus filhos estando nós,Fazendo-te viver como teu filho
E'u ymẽ ikó 'ybá,Não comas este fruto,Não será que este seja o dia
I mba'e-kuá-mo'anga'uba'e,O que supõe saber as coisas,O que tem coisas muito falsas
Aamynyîu-poban,Fiei o algodão,Fiquei-o a colar
"Tó! Aîpó n'i papasabi, kûarasymo oîké îepémo!","Ó! Isso não seria possível contar, ainda que o sol se pusesse!","Oh! Isso não vai para longe, já que o sol está ali!"
"Peîmo'ang ra'u xe ra'yrĩ gûé, peîmo'ang pe re'õ pupé pe ruba","Imaginai, ó meus filhinhos, imaginai que estais deitados em vossa morte","Trazei, certamente, meu filho, trazei, em vossas mãos, como vosso pai"
"Xe apuãnamo kori, nde rerapûana resé","Apresso-me hoje, por causa da tua fama","Eu tenho saudades hoje, por causa de tua vinda"
Xe pytáî bé turi,Veio bem detrás de mim,Meu coração também está
îepimemẽndûara,"o que é de cada dia, coisa cotidiana","o que é morto, o que é morto"
O îomba'eramo i momendarypyra rekóû,Como coisa um do outro estão os que são casados,Como seus antigos maridos que eles criaram
Aî'asu'u,Eu lhe mordo a cabeça,Fiquei-o a comer
"Te'õ mbasembápe, Tupã Tuba pyri Îesu nde rupiri","Quando chegou a morte, para junto de Deus-Pai Jesus fez-te subir","Depois da morte, Deus, junto a Deus, levou-te"
T'îanhe'engá-mirĩ ranhẽ 'ara momorãngatûabo,"Cantemos um pouquinho, primeiro, para festejarmos bem o dia",Que façam acabar o dia seguinte o diabo
N'onherani xûéne o îoupéne,Não oporão resistência um ao outro,Não nos ponhamos atrás de nós
Tupã rekó mombegûabo,Proclamando a lei de Deus,Promovendo a vida de Deus
Kagûarape marã? Nd'oîabyîpe Tupã nhe'enga?,"E os que bebem cauim, como ficam? Não transgridem a palavra de Deus?",Que fizeram com o cajuara? Não se satisfazem com a palavra de Deus?
T'oroporaká,Hei de pescar para ti,Que o conheçamos
"Paranãgûasu rasapa, asó tupi moangaîpapa","Atravessando o oceano, fui para fazer pecar os tupis","Conhecendo o pão do Paranãguasu, quero fazer passar os tupis"
"Opyk o'ama, i nhe'engobaîxûare'yma","Estava-se calando, não respondendo as palavras deles","Viram-no, não tendo suas palavras boas"
Ereîme'engype mba'e-kanhema nde basemagûera i îara supé?,Deste as coisas sumidas que tu achaste para seu dono?,"Fizeste coisas falsas, causa de teus inimigos, para seu senhor?"
"Aîmbiré, îarasó muru taûîé","Aimbirê, levemos os malditos logo","Aí, levamos os malditos logo"
Itá karamemûã pupé i nongi,Dentro de um túmulo de pedra o puseram,No meio de uma pedra de pedra ela foi presa
Ereînhe'engybõpe nde ruba?,Ofendeste teu pai?,Acreditas em teu pai?
Asobaîar,Oponho-me a ele,Aproximei-o
Aîpopûasá-rab,Soltei as algemas dele,Fiquei-o a colar-a
xe atukupé,minhas costas,por mim
Marãpe amoaé îandé 'anga posanongaba?,Qual é o outro meio de curar nossa alma?,Como a gente faz a alma de nossa alma?
Aî'amopikytĩ,Cortei-lhe o prepúcio,Fiquei-o a colar
Asóne-ká,Hei de ir,Enfimei-o
Asa'ubar,Tomei-o em seco,Fiquei-o a comer
Kunhã reroîabapara nd'e'ikatuî sesé omendá,O que foge com uma mulher não pode casar-se com ela,Os que perseguen mulheres não podem casar-se com eles
akangaó-îepepira,var de chapéu,"o que tem o ombro longo, o orado"
Ûiporabykŷabo gûixóbo,Indo eu para trabalhar,Fazendo-os caírem bem
Marãpe nd'erenhemimi?,Por que não te escondes?,Mas que disseste?
Opemo aîub,Jazo de lado,Fiquei-o depressa
Aó-tinga pupé i nhubani,Em roupas brancas envolveram-no,Fazendo-o caír em água escura
Ixé tiruã asó,Até eu vou,Eu vou para longe
Aîpukuîurar,Lacei a perna dele,Fiquei-o a colar-me
Marã e'ipe asé Tupã mombu-potá?,"Que diz a gente, querendo abrandar a Deus?",Que disse a gente para que Deus se satisfaça?
Erasó ké raré,"Leva-o, olha lá!",Levei-o aqui
Ten amo'e,Faço-o ficar com firmeza,Queimar as pessoas
"Kûeîsé, rakó, amõ kanhemi","Ontem, é verdade que alguns sumiram","Logo, de fato, alguns causaram-se"
Oroîoporu,Revezamo-nos uns com os outros,Nós estamos juntos
Aîmbo'e be'ĩmo mã,Deveria eu por bem ensiná-lo,Enfim disse isso
miîukapûera,o que foi morto,"o que foi morto, o que foi morto"
O akanetá-beraba ro'yrypy'aka sosé morotingyba'e reroína,Estando com seus cocares brilhantes que são mais brancos que a geada,O que tem medo mais do que é a morte que é a morte
N'aîasabi pó-pytera,Nem me cruzei as palmas das mãos,Não tenho palavras boas
"A'e o kakuab'iré, i nheme'engi apŷabaíba supé, oîeîuká-uká ybyraîoasaba resé","Ele, após crescer, entregou-se aos homens maus, fazendo-se matar na cruz","Depois de ter seu ventre, depois de o confessar para os índios, apanha-se muito com o que está no céu"
A'e ipó asetobapé-pyténe,"A ele, certamente, beijarei suas faces","Ele, de fato, está bem decorado"
"Te'yîpe nhẽ i gûapyki, tatá ypype oîepegûabo","Sentou-se em público, aquecendo-se perto do fogo","Afastando-o em seu corpo, agarrando-o no céu da terra"
mba'e kuakubagûera,o ocultamento das coisas,"o que é feito de coisa, o que é feito de coisa"
Oobapybo aîub,Estou deitado de bruços,Enfimei-o
xe rura agûerabé,desde minha vinda,o que veio de minha terra
kunumĩ-nhembo'e,"moço que aprende, moço aprendiz","meninas, meninas"
amynyîu-'yba,"pé de algodão, algodoeiro","cana de cana, cana de cana"
"Onheŷnhang umã sesé kunumĩetá kagûara, gûaîbĩ, tuîba'e abé","Já se juntaram por causa disso muitos moços bebedores de cauim, velhas e velhos também","Por isso, certamente, os moços comeram cauim, amaim, e os tuîbaes também"
i angaturamba'e remimonhãngatu,as boas obras dos que são bons,"o que é mau, o que é mau"
Sekomemûãagûera serekóbone sobaké bé i nhemondá bé,"Seus antigos pecados fazendo estar diante deles, seus furtos também",Fazendo que ele comesse seus pecados também e que ele comese também
"Xe renõî umẽ îepé i xupé, na xe îukáî!","Não me chames pelo nome diante dele, senão me mata!","Eia, eu vou para longe para eles, mas não para mim!"
Xe kyragûasu,Eu sou muito gordo,Eu tenho o coração escurado
Nde ma'enduar nde rekó pabagûama resé rá,Lembra-te já do término de tuas coisas,Lembra-te de tua vida como senhora
Ybaka suí ereîur,Do céu vieste,Vieste do céu
Xe momotîasó ahẽ nhe'enga,A fala de fulano repreendeu-me,Eu tenho a vontade de dizer aquilo
N'asé reroki bépe amõ abá abaré pyri?,Não nos batizam também outras pessoas junto do padre?,Não há aqui outro alguém junto ao padre?
Enhonong-y bé amõ,Põe mais outro,Eis que vou outra vez
Erenhemoatyrõpe eîegûaka nde poropotaramo?,"Enfeitaste-te, pintando-te, tendo desejos carnais?",Aproximaste-te muito de tuas palavras como teus amigos?
Asé 'anga ereîosub,Nossa alma visitas,A alma de nossa gente te impedes
Orokub ikó,Eis que aqui nós estamos,Vamos agora
Nd'e'i ymûanĩ ahẽ aoba moaûîébo,Ele nunca acaba de completar as roupas,"Por isso, de fato, não queimar as pessoas"
A'e îasûar,Parece que é ele,Levo-o
A'epe abaré hóstia pese'õ-etá-etáreme i pese'õmbûera îabi'õ Îandé Îara Îesu Cristo rekóû?,"E ao partir muitas vezes o padre a hóstia em pedaços, em cada pedaço dela Nosso Senhor Jesus Cristo está?","E, também, o padre que visita verdadeiramente o lugar em que o visita a Jesus Cristo é nosso Senhor Jesus Cristo?"
Oîoasykûera ri îasûaramo oîoerekóbo,Tratando-se uns aos outros como que numa fraternidade,Fazendo-se viver com o que se batiza
"Mokõnhõ kó taba pupé sekóû, oîepysyrõ okupa","Poucos nesta aldeia moram, estando a salvar-se","Logo aqui está no meio desta aldeia, abrindo-se a lei"
Opakatu sasyeteba'e i arybeba'erame'yma porarábo,"Sofrendo tudo o que é doloroso, que não se mitigará",Fazendo todos os que não têm bem a vida a viverem a eles
Asaûsub nde membyrĩ,Amo teu filhinho,Creio em tuas mãos
Ogûatá îepé serã i îybá mokõîa itapygûá soarama resé?,Por acaso não chegava seu segundo braço ao lugar de irem os pregos?,"Conhece-se, de fato, a morte de seus corpos no momento em que eles são batidos?"
amyniîu-aó-poanama,roupa de algodão grossa,"dia em que se come, dia em que se come"
Ereî'useîpe u'i-puba?,Queres comer farinha puba?,Encheste os frutos?
Xe nhe'ẽkurukuruk,Eu resmungo,Eu tenho palavras malditoas
Nd'e'ikatuîpe abá omendá-nhemima?,Não pode uma pessoa casar-se ocultamente?,Não pode ninguém casar-se?
Xe rygynõ,Eu tenho bafio,Eu sou curdo
kokoty bé,mais para cá,ainda mais
"Marãpe sepîaki, setee'ymba'eramo sekó e'ymeté?",Como o viu se ele não tem corpo?,"Como o vêem, não tendo a vontade de sete?"
Onhemote'õ'a moxy,Desfaleceram os maus,Morrendo o maldito
Aîmba'e-pysyrõ-mbab,Saqueei-lhe as coisas completamente,Fiquei-o engardoando
Nd'e'ikatu béî aîpó i pe'apyra'uba missa renduba resé,Também não pode aquele excomungado miserável ouvir a missa,"Não é possível, de fato, que isso se realize por causa da missa"
I aputu'uma t'a'u,Hei de comer seus miolos,Que o conheçamos
Nde reroîeupi kori,Faz-te subir consigo hoje,Veio buscar-te hoje
Na xe rekopoxyî xûé angiréne,Não serei pecador doravante,Não se me arrependo muito antes disso
Xe run tatatinga suí,Eu estou preto de fumaça,Eu estou afastado da tatatinga
Atupá-rung abati,Estabeleci uma plantação de milho,Fiquei-o apanando
Koromõ xe rorybamo,Logo eu estou feliz,"Logo, meu próximo"
Aîeîkûaru'umbok,Eu me limpo das fezes,Aproximei-me de mim
îeporakasara,pescador,"o que come, o que come, o que come"
Ipuku erimba'e îandé rubypy rekóû îase'o-monhanga,Longamente nosso pai primeiro esteve chorando,"Na verdade, o que estava no nosso pai fazia-se afligir"
Angaîpaba aîpokosu,Surpreendi os pecadores,Aquecei-me o mal
"Aîpó pytunusu suí Tupã nde mosemagûera kuapa, eîmomba'eté Tupã","Sabendo que Deus te fez sair daquela escuridão, honra a Deus","Daí que Deus dá para ti os que Deus te dou, Deus te dou verdadeiramente"
Marãpe Îandé îara i mombûerabi?,Como Nosso Senhor a cura?,Que faz nosso senhor confessar a ele?
Mbype emondarõ sesé,Rouba-o aí por perto,Agradecendo-se muito por ele
Ahẽ ruraba a'eîponomã,Se não fosse a vinda do fulano,Esse homem disse isso
Ypa'ũgûasu,Ilha Grande,o que é grande e grande
"Xe mendûera ipó re'ĩ, Piraka'ẽ amyrĩ!","Meu ex-marido há de ser certamente, o finado Piracaém","Oxalá o que eu dissesse, o Piraka'é um pouco grande!"
îoa'o,injúria recíproca,"o que é morto, o que é morto"
koba'e-te,este outro,o que é mau
"Ené, rõ, kururu-asyka!","Eia, pois, sapo maneta!","Eis que tu, pois, enforcaste-te!"
Îusana abŷare'yma nhẽ serã tentação?,Porventura a tentação é coisa semelhante a um laço?,"O maldito, será que será tentação?"
Aîeakasó,Mudo-me,Fiquei-o a comer
Marãba'e kunhãpe Santa Maria?,Que tipo de mulher é Santa Maria?,Que tipo de mulher é Santa Maria?
I abaîté xe rembiasaba,É terrível minha captura,São muitos os que me alegram
"Aûnhenhẽ 'y sugûy abé i xuí i 'emi, osyryka","Imediatamente, água e sangue dele vazaram, escorrendo","Aproximamente a água que vem dele, queima-se"
I porambyrambyk xe rekó ixébo - São-me agradáveis meus afazeres I porambyrambykĩ xe nhemosaraîa ixébo,Estava-me agradável meu jogo,São-me os amáveis meus amigos São-me os amentes meus São-me os amentes meus
"A'e, rakó, i angaîpá, oîemopaîé-paîébo","Elas, na verdade, são más, ficando a fazer pajelança","Ele, de fato, fez suas maldades, fazendo-os ficar aterrorizados"
T'i marangatu apó abá pé,Sejamos bons para aqueles homens,Que esteja a pé daquele homem
Ose'ymype gûá?,Deram-lhe de beber?,"Enfim, foi?"
putunyme,de noite,"o que é mau, o mau"
Xe pitubarusu,Eu estou muito quebrantado,Eu sou muito grande
"Xe rera ""Kururupeba""","Meu nome é ""Sapo Achatado""","Meu nome é ""Kururupeba"""
Osyk oré ri sendy îepinhẽ,Chegou a nós sua luz para sempre,Viram para nos aconstar sempre
i moxyryrykypyra,"o que é frito, a fritura",o que é magro
Pe apysykĩ serã peîkóbo pe rekomemûã aty-atyra pupé?,"Será que estais sossegados, sem mais, com vossos montes de maldades?","Vós alegrais-vos, porventura, de vos conseguirem os antepassados?"
I îogûerekó kûeîkûeîbo,A consorciação deles em toda a parte,Estando sentados logo
Xe îase'opytym xe remi'u,Engasgou-me minha comida,"Eu sou muito corajoso, eu sou corajoso"
Kó nde remimbûaîetá t'oîtyk pá tekopoxy,Que estes em quem mandas lancem fora toda a maldade,Eis que estas tuas presas hei de destruir todos os tekopós
"Nde rekokatu potá, aroŷrõ xe rekopûera","Querendo tua virtude, detesto minha cultura antiga","Tu és o que faze a realidade, o que eu fizente"
Sepoti,"Ele está enferrujado, ele tem ferrugem",Levo-o
Mba'e-mba'e-piã te'õ suí nheangûaba?,"Quais são, por acaso, as ocasiões de se ter medo da morte?",Qual é o modo de entender da morte?
Eresó kó 'ara ri,Vais neste dia,Vais neste dia
Ã tekó a'ereme moreroka Ké bŷá Îesus nongi seramo,"Eis que era costume, por ocasião disso, pôr nome Assim, puseram como nome dele ""Jesus""","Eis que, antes disso, eu tinha ido à frente de Jesus"
T'oroîtyk oré poxy,Que lancemos fora nossa maldade,Que venha para nos alegrar
"Aryryî, opá xe uba îesyî","Tremo, ambas as minhas coxas adormeceram","Aproxima-se, todos os meus corpos apanharão"
Xe atá-pûan,"Eu tenho uma caminhada ligeira, ando depressa",Eu tenho o peço alto
Abá 'anga mara'ara i pupé opûeîrá-katu,As doenças da alma do homem com ela saram bem,A maldade de uma alma de homem fica bem no seu corpo
"Ereîkupeanga'ope nde ruba, nde mbo'esara?","Vituperaste pelas costas a teu pai, a teu mestre?","Acreditas em teu pai, o que tu disseste?"
